,node_loc,technology,year_act,mode,time,value,unit
360,R12_RCPA,LNG_shipped_exp_afr,1995,M1,year,0.0,GWa
361,R12_RCPA,gas_piped_exp_afr,1995,M1,year,0.0,GWa
362,R12_RCPA,LNG_shipped_exp_eeu,1995,M1,year,0.0,GWa
363,R12_RCPA,gas_piped_exp_eeu,1995,M1,year,0.0,GWa
364,R12_RCPA,LNG_shipped_exp_lam,1995,M1,year,0.0,GWa
365,R12_RCPA,gas_piped_exp_lam,1995,M1,year,0.0,GWa
366,R12_RCPA,LNG_shipped_exp_mea,1995,M1,year,0.0,GWa
367,R12_RCPA,gas_piped_exp_mea,1995,M1,year,0.0,GWa
368,R12_SAS,LNG_shipped_exp_afr,1995,M1,year,0.0,GWa
369,R12_SAS,gas_piped_exp_afr,1995,M1,year,0.0,GWa
370,R12_SAS,LNG_shipped_exp_eeu,1995,M1,year,0.0,GWa
371,R12_SAS,gas_piped_exp_eeu,1995,M1,year,0.0,GWa
372,R12_SAS,LNG_shipped_exp_lam,1995,M1,year,0.0,GWa
373,R12_SAS,gas_piped_exp_lam,1995,M1,year,0.0,GWa
374,R12_SAS,LNG_shipped_exp_mea,1995,M1,year,0.0,GWa
375,R12_SAS,gas_piped_exp_mea,1995,M1,year,0.0,GWa
376,R12_WEU,LNG_shipped_exp_afr,1995,M1,year,0.0,GWa
377,R12_WEU,gas_piped_exp_afr,1995,M1,year,0.0,GWa
378,R12_WEU,LNG_shipped_exp_eeu,1995,M1,year,0.0,GWa
379,R12_WEU,gas_piped_exp_eeu,1995,M1,year,0.08021505522005194,GWa
380,R12_WEU,LNG_shipped_exp_lam,1995,M1,year,0.0,GWa
381,R12_WEU,gas_piped_exp_lam,1995,M1,year,0.0,GWa
382,R12_WEU,LNG_shipped_exp_mea,1995,M1,year,0.0,GWa
383,R12_WEU,gas_piped_exp_mea,1995,M1,year,0.0,GWa
387,R12_AFR,LNG_shipped_exp_eeu,1996,M1,year,0.0,GWa
388,R12_AFR,gas_piped_exp_eeu,1996,M1,year,0.0,GWa
389,R12_AFR,LNG_shipped_exp_lam,1996,M1,year,0.0,GWa
390,R12_AFR,gas_piped_exp_lam,1996,M1,year,0.0,GWa
391,R12_AFR,LNG_shipped_exp_mea,1996,M1,year,0.0,GWa
392,R12_AFR,gas_piped_exp_mea,1996,M1,year,0.0,GWa
393,R12_CHN,LNG_shipped_exp_afr,1996,M1,year,0.0,GWa
394,R12_CHN,gas_piped_exp_afr,1996,M1,year,0.0,GWa
396,R12_CHN,LNG_shipped_exp_eeu,1996,M1,year,0.0,GWa
397,R12_CHN,gas_piped_exp_eeu,1996,M1,year,0.0,GWa
398,R12_CHN,LNG_shipped_exp_lam,1996,M1,year,0.0,GWa
399,R12_CHN,gas_piped_exp_lam,1996,M1,year,0.0,GWa
400,R12_CHN,LNG_shipped_exp_mea,1996,M1,year,0.0,GWa
401,R12_CHN,gas_piped_exp_mea,1996,M1,year,0.0,GWa
402,R12_EEU,LNG_shipped_exp_afr,1996,M1,year,0.0,GWa
403,R12_EEU,gas_piped_exp_afr,1996,M1,year,0.0,GWa
406,R12_EEU,LNG_shipped_exp_lam,1996,M1,year,0.0,GWa
