"code","msg_reg","xval","avgIC"
"MIROC5_6p0_2030-2070","WEU",17.2474,1548.99210122589
"MIROC5_6p0_2030-2070","WEU",27.1646,3467.7331929307
"MIROC5_6p0_2030-2070","WEU",33.2012,6174.98738381707
"MIROC5_6p0_2030-2070","WEU",36.6507,9280.46645214675
"MIROC5_6p0_2030-2070","WEU",40.1001,13499.5261747963
"MIROC5_6p0_2030-2070","WEU",40.9625,19518.4767248045
"MIROC5_6p0_2030-2070","WEU",42.256,23817.5717149888
"MIROC5_6p0_2030-2070","WEU",43.1184,36687.9056826431
"MIROC5_6p0_2071-2100","WEU",0,1702.71171341373
"MIROC5_6p0_2071-2100","WEU",17.6635,1702.71171341373
"MIROC5_6p0_2071-2100","WEU",27.6996,4108.29449393514
"MIROC5_6p0_2071-2100","WEU",32.517,7707.78054419328
"MIROC5_6p0_2071-2100","WEU",35.7285,11630.934688589
"MIROC5_6p0_2071-2100","WEU",37.7357,16067.6901731636
"MIROC5_6p0_2071-2100","WEU",38.5386,21861.0651500448
"MIROC5_6p0_2071-2100","WEU",39.3415,25694.1853822314
"MIROC5_6p0_2071-2100","WEU",40.1444,40730.707092099
"MIROC5_hist_historical","WEU",0,1582.10095076713
"MIROC5_hist_historical","WEU",16.7914,1582.10095076713
"MIROC5_hist_historical","WEU",27.7057,3653.83954423756
"MIROC5_hist_historical","WEU",31.9036,6459.49078791138
"MIROC5_hist_historical","WEU",36.941,10182.9861579524
"MIROC5_hist_historical","WEU",39.0399,14525.2486555423
"MIROC5_hist_historical","WEU",39.8795,18935.4814951876
"MIROC5_hist_historical","WEU",41.1388,24173.0083833316
"MIROC5_hist_historical","WEU",41.9784,32687.5467563703
