Type of Technology,Description,Type ,Input ,Output,Vintage Tracking,Sector,LCA mapping
oil_extr_5,"Crude oil extraction, Cat V = Recoverable reserves of nonconventional oil = Shale, tarsands/bitumen and heavy oils",Primary,Crude 5 Resource Primary,Crude Oil Primary,,Extraction,
oil_extr_6,"Crude oil extraction, Cat VI = 20% of estimated occurences (-reserves) of shale, heavy oils, tarsands/bitumen",Primary,Crude 6 Resource Primary,Crude Oil Primary,,Extraction,
oil_extr_mpen,Common Market penetration for all oil extraction technologies,Secondary,-,Exports Secondary,,Extraction,
oil_imp,Net imports of oil,Secondary,Oil Imports,Crude Oil Secondary,,Liquids,
plutonium_prod,plutonium production,Stocks,PuQ Stocks,Pu Stocks,,Liquids,
po_turbine,pass out turbine,Secondary,ELectricity Secondary,D_Heat Secondary,yes,Heat,
RCspec_1,conservation cost curve step for residential/commercial specific demand,Useful,-,RC_Useful,,Residential/Commercial,
RCspec_2,conservation cost curve step for residential/commercial specific demand,Useful,-,RC_Useful,,Residential/Commercial,
RCspec_3,conservation cost curve step for residential/commercial specific demand,Useful,-,RC_Useful,,Residential/Commercial,
RCspec_4,conservation cost curve step for residential/commercial specific demand,Useful,-,RC_Useful,,Residential/Commercial,
RCspec_5,conservation cost curve step for residential/commercial specific demand,Useful,-,RC_Useful,,Residential/Commercial,
RCspec_con,joint diffusion constraint for residential/commercial specific conservation cost curve steps,Dummy,-,Dummy Agriculture Primary,,Residential/Commercial,
RCtherm_1,conservation cost curve step for residential/commercial thermal demand,Useful,-,RC_Thermal Useful,,Residential/Commercial,
RCtherm_2,conservation cost curve step for residential/commercial thermal demand,Useful,-,RC_Thermal Useful,,Residential/Commercial,
RCtherm_3,conservation cost curve step for residential/commercial thermal demand,Useful,-,RC_Thermal Useful,,Residential/Commercial,
RCtherm_4,conservation cost curve step for residential/commercial thermal demand,Useful,-,RC_Thermal Useful,,Residential/Commercial,
RCtherm_5,conservation cost curve step for residential/commercial thermal demand,Useful,-,RC_Thermal Useful,,Residential/Commercial,
RCtherm_con,joint diffusion constraint for residential/commercial thermal conservation cost curve steps,Dummy,-,Dummy Agriculture Primary,,Residential/Commercial,
recycling_gas1,Recycling gas carts for SF6 recovery during maintenance of gas insulated equipment(SR),Dummy,-,Dummy Primary,,Non-CO2,
ref_hil,New deeply upgraded refineries,Secondary,Crude Oil Secondary,Fuel Oil Secondary,yes,Liquids,
ref_lol,Existing refineries (low yield),Secondary,Crude Oil Secondary,Fuel Oil Secondary,yes,Liquids,
refrigerant_recovery,"Recovery of refrigerant, HFC-134a from refrigeration and AC (SR)",Primary,-,Dummy Primary,,Non-CO2,
repl_hc,Replacement with HC for foams,Primary,-,Dummy Primary,,Non-CO2,
replacement_so2,Replacing SF6 by SO2(SR),Primary,-,Dummy Primary,,Non-CO2,
rice_red1,Mitigation for CH4 emissions from rice,Primary,-,Dummy Agriculture Primary,,Non-CO2,
rice_red2,Mitigation for CH4 emissions from rice,Primary,-,Dummy Agriculture Primary,,Non-CO2,
rice_red3,Mitigation for CH4 emissions from rice,Primary,-,Dummy Agriculture Primary,,Non-CO2,
rire_con,joint diffusion constraint for rice cultivation mitigation technologies,Primary,-,Dummy  Agriculture Primary,,Non-CO2,
SF6_TCE,SF6 total carbon equivalent emissions,Primary,-,Dummy Primary,,Dummy,
sinks_1,potential for sinks (50. US$),Secondary,-,Exports Secondary,,Land,
sinks_2,potential for sinks (100. US$),Secondary,-,Exports Secondary,,Land,
sinks_3,potential for sinks (200. US$),Secondary,-,Exports Secondary,,Land,
sinks_4,potential for sinks (300. US$),Secondary,-,Exports Secondary,,Land,
soil_red1,Mitigation for N2Oemissions from soil,Primary,-,Dummy Agriculture Primary,,Non-CO2,
soil_red2,Mitigation for N2Oemissions from soil,Primary,-,Dummy Agriculture Primary,,Non-CO2,
soil_red3,Mitigation for N2Oemissions from soil,Primary,-,Dummy Agriculture Primary,,Non-CO2,
solar_curtailment1,solar PV curtailment steps,Dummy,ELectricity Secondary,Dummy Renewable Secondary,,Electricity,
solar_curtailment2,solar PV curtailment steps,Dummy,ELectricity Secondary,Dummy Renewable Secondary,,Electricity,
solar_curtailment3,solar PV curtailment steps,Dummy,ELectricity Secondary,Dummy Renewable Secondary,,Electricity,
solar_cv1,quadratic systems integration costs added to solar PV,Dummy,-,Dummy Renewable Secondary,,Electricity,
solar_cv2,quadratic systems integration costs added to solar PV,Dummy,-,Dummy Renewable Secondary,,Electricity,
solar_cv3,quadratic systems integration costs added to solar PV,Dummy,-,Dummy Renewable Secondary,,Electricity,
solar_cv4,quadratic systems integration costs added to solar PV,Dummy,-,Dummy Renewable Secondary,,Electricity,
solar_i,solar thermal in industry sector,Useful,-,Industry TH Useful,yes,Industry,
solar_pv_I,On-site solar photovoltaic power plant (no storage) in industry,Useful,-,Industry Useful,yes,Industry,
solar_pv_ppl,Solar photovoltaic power plant (no storage),Dummy,-,Dummy Renewable Secondary,yes,Electricity,Solar|PV
solar_pv_RC,On-site solar photovoltaic power plant (no storage) in residential/commercial,Useful,-,RC_Useful,yes,Residential/Commercial,
solar_rc,Solar thermal in residential/commercial sector,Useful,-,RC_Thermal Useful,,Residential/Commercial,
solar_res1,maximum solar electricity potential 1,Secondary,-,Electricity Secondary,,Electricity,
solar_res2,maximum solar electricity potential 2,Secondary,-,Electricity Secondary,,Electricity,
solar_res3,maximum solar electricity potential 3,Secondary,-,Electricity Secondary,,Electricity,
solar_res4,maximum solar electricity potential 4,Secondary,-,Electricity Secondary,,Electricity,
solar_res5,maximum solar electricity potential 5,Secondary,-,Electricity Secondary,,Electricity,
solar_res6,maximum solar electricity potential 6,Secondary,-,Electricity Secondary,,Electricity,
solar_res7,maximum solar electricity potential 7,Secondary,-,Electricity Secondary,,Electricity,
solar_th_ppl,Solar thermal power plant with storage,Secondary,-,Electricity Secondary,yes,Electricity,
sp_coal_I,specific use of coal in industry,Useful,Coal Final ,Industry Useful,,Industry,
sp_el_I,specific use of electricity in industry,Useful,Electricity Final ,Industry Useful,,Industry,
sp_el_RC,specific use of electricity in residential/commercial,Useful,Electricity Final ,RC_Useful,,Residential/Commercial,
sp_eth_I,ethanol (without net C) replacement for specific use of light oil in industry,Useful,Ethanol Final ,Industry Useful,,Industry,
sp_liq_I,specific use of light oil in industry,Useful,Light Oil Final ,Industry Useful,,Industry,
sp_meth_I,methanol (with C) replacement for  specific use of light oil in industry,Useful,Methanol Final ,Industry Useful,,Industry,
stor_ppl,generic electric storage,Secondary,ELectricity Secondary,Exports Secondary,yes,Electricity,
syn_liq,Coal liquefaction and lightoil synthesis,Secondary,Coal Secondary ,Light Oil Secondary,yes,Liquids,
syn_liq_ccs,Coal liquefaction and lightoil synthesis with carbon capture and storage,Secondary,Coal Secondary ,Light Oil Secondary,yes,Liquids,
Trans_1,conservation cost curve step for transport demand,Useful,-,Transport Useful,,Transport,
Trans_2,conservation cost curve step for transport demand,Useful,-,Transport Useful,,Transport,
Trans_3,conservation cost curve step for transport demand,Useful,-,Transport Useful,,Transport,
Trans_4,conservation cost curve step for transport demand,Useful,-,Transport Useful,,Transport,
Trans_5,conservation cost curve step for transport demand,Useful,-,Transport Useful,,Transport,
Trans_con,joint diffusion constraint for transport conservation cost curve steps,Primary,-,Dummy Agriculture Primary,,Transport,
u5-reproc,Uranium reprocessing,Stocks,Stocks U5Q,Stock U5,yes,Nuclear,
Uran_extr,"Uranium extraction, milling for FBR blanket",Stocks,Uranium Resource,Stock UQ,,Nuclear,
uran2u5,"Uranium extraction, milling, fluorination and enrichment per t U5",Stocks,Uranium Resource,Stock U5,,Nuclear,
useful_feedstock,Share constraint for Feedstocks,Dummy,-,Dummy_Useful -Primary,,Dummy,
useful_industry_sp,Share constraint for Industry Specific,Dummy,-,Dummy_Useful -Primary,,Dummy,
useful_industry_th,Share constraint for Industry Thermal,Dummy,-,Dummy_Useful -Primary,,Dummy,
useful_res/comm_sp,Share constraint for Residential and Commercial Specific,Dummy,-,Dummy_Useful -Primary,,Dummy,
useful_res/comm_th,Share constraint for Residential and Commercial Thermal,Dummy,-,Dummy_Useful -Primary,,Dummy,
useful_transport,Share constraint for Transport,Dummy,-,Dummy_Useful -Primary,,Dummy,
vertical_stud,Soderberg process for CF4 from aluminum (SR),Dummy,-,Dummy Primary,,Non-CO2,
wind_curtailment1,wind curtailment steps,Dummy,Secondary Electricity,Dummy Renewable Secondary,,Electricity,
wind_curtailment2,wind curtailment steps,Dummy,Secondary Electricity,Dummy Renewable Secondary,,Electricity,
wind_curtailment3,wind curtailment steps,Dummy,Secondary Electricity,Dummy Renewable Secondary,,Electricity,
wind_cv1,"wind flexibility requirement and firm capacity contribution, quadratic systems integration costs added to wind",Dummy,-,Dummy Renewable Secondary,,Electricity,
wind_cv2,"wind flexibility requirement and firm capacity contribution, quadratic systems integration costs added to wind",Dummy,-,Dummy Renewable Secondary,,Electricity,
wind_cv3,"wind flexibility requirement and firm capacity contribution, quadratic systems integration costs added to wind",Dummy,-,Dummy Renewable Secondary,,Electricity,
wind_cv4,"wind flexibility requirement and firm capacity contribution, quadratic systems integration costs added to wind",Dummy,-,Dummy Renewable Secondary,,Electricity,
wind_ppl,wind power plant onshore (provides capacity only),Dummy,-,Dummy Renewable Secondary,yes,Electricity,Wind|onshore
wind_res1,wind onshore potential and generation 1,Secondary,-,Electricity Secondary,,Electricity,
wind_res2,wind onshore potential and generation 2,Secondary,-,Electricity Secondary,,Electricity,
wind_res3,wind onshore potential and generation 3,Secondary,-,Electricity Secondary,,Electricity,
wind_res4,wind onshore potential and generation 4,Secondary,-,Electricity Secondary,,Electricity,
wind_ppf,wind power plant offshore (provides capacity only),Secondary,-,Dummy Renewable Secondary,yes,Electricity,Wind|offshore
wind_ref1,wind offshore potential and generation 1,Secondary,-,Electricity Secondary,,Electricity,
wind_ref2,wind offshore potential and generation 2,Secondary,-,Electricity Secondary,,Electricity,
wind_ref3,wind offshore potential and generation 3,Secondary,-,Electricity Secondary,,Electricity,
wind_ref4,wind offshore potential and generation 4,Secondary,-,Electricity Secondary,,Electricity,
wind_ref5,wind offshore potential and generation 5,Secondary,-,Electricity Secondary,,Electricity,
csp_sm3_res,concentrating solar power (CSP) with solar multiple of 3 potential and generation 1,Secondary,-,Electricity Secondary,,Electricity,
csp_sm3_res1,concentrating solar power (CSP) with solar multiple of 3 potential and generation 2,Secondary,-,Electricity Secondary,,Electricity,
csp_sm3_res2,concentrating solar power (CSP) with solar multiple of 3 potential and generation 3,Secondary,-,Electricity Secondary,,Electricity,
csp_sm3_res3,concentrating solar power (CSP) with solar multiple of 3 potential and generation 4,Secondary,-,Electricity Secondary,,Electricity,
csp_sm3_res4,concentrating solar power (CSP) with solar multiple of 3 potential and generation 5,Secondary,-,Electricity Secondary,,Electricity,
csp_sm3_res5,concentrating solar power (CSP) with solar multiple of 3 potential and generation 6,Secondary,-,Electricity Secondary,,Electricity,
csp_sm3_res6,concentrating solar power (CSP) with solar multiple of 3 potential and generation 7,Secondary,-,Electricity Secondary,,Electricity,
csp_sm3_res7,concentrating solar power (CSP) with solar multiple of 3 potential and generation 8,Secondary,-,Electricity Secondary,,Electricity,
csp_sm3_ppl,concentrating solar power (CSP) with solar multiple of 3 (provides capacity only),Secondary,-,Dummy Renewable Secondary,yes,Electricity,Solar|CSP
csp_sm1_res,concentrating solar power (CSP) with solar multiple of 1 potential and generation 1,Secondary,-,Electricity Secondary,,Electricity,
csp_sm1_res1,concentrating solar power (CSP) with solar multiple of 1 potential and generation 2,Secondary,-,Electricity Secondary,,Electricity,
csp_sm1_res2,concentrating solar power (CSP) with solar multiple of 1 potential and generation 3,Secondary,-,Electricity Secondary,,Electricity,
csp_sm1_res3,concentrating solar power (CSP) with solar multiple of 1 potential and generation 4,Secondary,-,Electricity Secondary,,Electricity,
csp_sm1_res4,concentrating solar power (CSP) with solar multiple of 1 potential and generation 5,Secondary,-,Electricity Secondary,,Electricity,
csp_sm1_res5,concentrating solar power (CSP) with solar multiple of 1 potential and generation 6,Secondary,-,Electricity Secondary,,Electricity,
csp_sm1_res6,concentrating solar power (CSP) with solar multiple of 1 potential and generation 7,Secondary,-,Electricity Secondary,,Electricity,
csp_sm1_res7,concentrating solar power (CSP) with solar multiple of 1 potential and generation 8,Secondary,-,Electricity Secondary,,Electricity,
csp_sm1_ppl,concentrating solar power (CSP) with solar multiple of 1 (provides capacity only),Secondary,-,Dummy Renewable Secondary,yes,Electricity,Solar|CSP
