parameter,technology,mode,commodity,level,time,time_origin,value,unit,node_loc,time_dest,emission
growth_activity_up,coal_NH3,,,,year,,0.1,%,R12_WEU,,
growth_activity_up,coal_NH3,,,,year,,0.1,%,R12_CHN,,
growth_activity_up,coal_NH3_ccs,,,,year,,0.1,%,R12_AFR,,
growth_activity_up,coal_NH3_ccs,,,,year,,0.1,%,R12_RCPA,,
growth_activity_up,coal_NH3_ccs,,,,year,,0.1,%,R12_RCPA,,
growth_activity_up,coal_NH3_ccs,,,,year,,0.1,%,R12_EEU,,
growth_activity_up,coal_NH3_ccs,,,,year,,0.1,%,R12_FSU,,
growth_activity_up,coal_NH3_ccs,,,,year,,0.1,%,R12_LAM,,
growth_activity_up,coal_NH3_ccs,,,,year,,0.1,%,R12_MEA,,
growth_activity_up,coal_NH3_ccs,,,,year,,0.1,%,R12_NAM,,
growth_activity_up,coal_NH3_ccs,,,,year,,0.1,%,R12_PAO,,
growth_activity_up,coal_NH3_ccs,,,,year,,0.1,%,R12_PAS,,
growth_activity_up,coal_NH3_ccs,,,,year,,0.1,%,R12_SAS,,
growth_activity_up,coal_NH3_ccs,,,,year,,0.1,%,R12_WEU,,
growth_activity_up,coal_NH3_ccs,,,,year,,0.1,%,R12_CHN,,
growth_activity_up,electr_NH3,,,,year,,0.1,%,R12_AFR,,
growth_activity_up,electr_NH3,,,,year,,0.1,%,R12_RCPA,,
growth_activity_up,electr_NH3,,,,year,,0.1,%,R12_RCPA,,
growth_activity_up,electr_NH3,,,,year,,0.1,%,R12_EEU,,
growth_activity_up,electr_NH3,,,,year,,0.1,%,R12_FSU,,
growth_activity_up,electr_NH3,,,,year,,0.1,%,R12_LAM,,
growth_activity_up,electr_NH3,,,,year,,0.1,%,R12_MEA,,
growth_activity_up,electr_NH3,,,,year,,0.1,%,R12_NAM,,
growth_activity_up,electr_NH3,,,,year,,0.1,%,R12_PAO,,
growth_activity_up,electr_NH3,,,,year,,0.1,%,R12_PAS,,
growth_activity_up,electr_NH3,,,,year,,0.1,%,R12_SAS,,
growth_activity_up,electr_NH3,,,,year,,0.1,%,R12_WEU,,
growth_activity_up,electr_NH3,,,,year,,0.1,%,R12_CHN,,
growth_activity_up,fueloil_NH3,,,,year,,0.1,%,R12_AFR,,
growth_activity_up,fueloil_NH3,,,,year,,0.1,%,R12_RCPA,,
growth_activity_up,fueloil_NH3,,,,year,,0.1,%,R12_RCPA,,
growth_activity_up,fueloil_NH3,,,,year,,0.1,%,R12_EEU,,
growth_activity_up,fueloil_NH3,,,,year,,0.1,%,R12_FSU,,
growth_activity_up,fueloil_NH3,,,,year,,0.1,%,R12_LAM,,
growth_activity_up,fueloil_NH3,,,,year,,0.1,%,R12_MEA,,
growth_activity_up,fueloil_NH3,,,,year,,0.1,%,R12_NAM,,
growth_activity_up,fueloil_NH3,,,,year,,0.1,%,R12_PAO,,
growth_activity_up,fueloil_NH3,,,,year,,0.1,%,R12_PAS,,
growth_activity_up,fueloil_NH3,,,,year,,0.1,%,R12_SAS,,
growth_activity_up,fueloil_NH3,,,,year,,0.1,%,R12_WEU,,
growth_activity_up,fueloil_NH3,,,,year,,0.1,%,R12_CHN,,
growth_activity_up,fueloil_NH3_ccs,,,,year,,0.1,%,R12_AFR,,
growth_activity_up,fueloil_NH3_ccs,,,,year,,0.1,%,R12_RCPA,,
growth_activity_up,fueloil_NH3_ccs,,,,year,,0.1,%,R12_RCPA,,
growth_activity_up,fueloil_NH3_ccs,,,,year,,0.1,%,R12_EEU,,
growth_activity_up,fueloil_NH3_ccs,,,,year,,0.1,%,R12_FSU,,
growth_activity_up,fueloil_NH3_ccs,,,,year,,0.1,%,R12_LAM,,
growth_activity_up,fueloil_NH3_ccs,,,,year,,0.1,%,R12_MEA,,
growth_activity_up,fueloil_NH3_ccs,,,,year,,0.1,%,R12_NAM,,
growth_activity_up,fueloil_NH3_ccs,,,,year,,0.1,%,R12_PAO,,
growth_activity_up,fueloil_NH3_ccs,,,,year,,0.1,%,R12_PAS,,
growth_activity_up,fueloil_NH3_ccs,,,,year,,0.1,%,R12_SAS,,
growth_activity_up,fueloil_NH3_ccs,,,,year,,0.1,%,R12_WEU,,
growth_activity_up,fueloil_NH3_ccs,,,,year,,0.1,%,R12_CHN,,
growth_activity_up,gas_NH3,,,,year,,0.1,%,R12_AFR,,
growth_activity_up,gas_NH3,,,,year,,0.1,%,R12_RCPA,,
growth_activity_up,gas_NH3,,,,year,,0.1,%,R12_RCPA,,
growth_activity_up,gas_NH3,,,,year,,0.1,%,R12_EEU,,
growth_activity_up,gas_NH3,,,,year,,0.1,%,R12_FSU,,
growth_activity_up,gas_NH3,,,,year,,0.1,%,R12_LAM,,
growth_activity_up,gas_NH3,,,,year,,0.1,%,R12_MEA,,
growth_activity_up,gas_NH3,,,,year,,0.1,%,R12_NAM,,
growth_activity_up,gas_NH3,,,,year,,0.1,%,R12_PAO,,
growth_activity_up,gas_NH3,,,,year,,0.1,%,R12_PAS,,
growth_activity_up,gas_NH3,,,,year,,0.1,%,R12_SAS,,
growth_activity_up,gas_NH3,,,,year,,0.1,%,R12_WEU,,
growth_activity_up,gas_NH3,,,,year,,0.1,%,R12_CHN,,
growth_activity_up,gas_NH3_ccs,,,,year,,0.1,%,R12_AFR,,
growth_activity_up,gas_NH3_ccs,,,,year,,0.1,%,R12_RCPA,,
growth_activity_up,gas_NH3_ccs,,,,year,,0.1,%,R12_RCPA,,
growth_activity_up,gas_NH3_ccs,,,,year,,0.1,%,R12_EEU,,
growth_activity_up,gas_NH3_ccs,,,,year,,0.1,%,R12_FSU,,
growth_activity_up,gas_NH3_ccs,,,,year,,0.1,%,R12_LAM,,
growth_activity_up,gas_NH3_ccs,,,,year,,0.1,%,R12_MEA,,
growth_activity_up,gas_NH3_ccs,,,,year,,0.1,%,R12_NAM,,
growth_activity_up,gas_NH3_ccs,,,,year,,0.1,%,R12_PAO,,
growth_activity_up,gas_NH3_ccs,,,,year,,0.1,%,R12_PAS,,
growth_activity_up,gas_NH3_ccs,,,,year,,0.1,%,R12_SAS,,
growth_activity_up,gas_NH3_ccs,,,,year,,0.1,%,R12_WEU,,
growth_activity_up,gas_NH3_ccs,,,,year,,0.1,%,R12_CHN,,
growth_activity_lo,NH3_to_N_fertil,,,,year,,-0.1,%,R12_AFR,,
growth_activity_lo,NH3_to_N_fertil,,,,year,,-0.1,%,R12_RCPA,,
growth_activity_lo,NH3_to_N_fertil,,,,year,,-0.1,%,R12_RCPA,,
growth_activity_lo,NH3_to_N_fertil,,,,year,,-0.1,%,R12_EEU,,
growth_activity_lo,NH3_to_N_fertil,,,,year,,-0.1,%,R12_FSU,,
growth_activity_lo,NH3_to_N_fertil,,,,year,,-0.1,%,R12_LAM,,
growth_activity_lo,NH3_to_N_fertil,,,,year,,-0.1,%,R12_MEA,,
growth_activity_lo,NH3_to_N_fertil,,,,year,,-0.1,%,R12_NAM,,
growth_activity_lo,NH3_to_N_fertil,,,,year,,-0.1,%,R12_PAO,,
growth_activity_lo,NH3_to_N_fertil,,,,year,,-0.1,%,R12_PAS,,
growth_activity_lo,NH3_to_N_fertil,,,,year,,-0.1,%,R12_SAS,,
growth_activity_lo,NH3_to_N_fertil,,,,year,,-0.1,%,R12_WEU,,
growth_activity_lo,NH3_to_N_fertil,,,,year,,-0.1,%,R12_CHN,,
growth_activity_lo,biomass_NH3,,,,year,,-0.1,%,R12_AFR,,
growth_activity_lo,biomass_NH3,,,,year,,-0.1,%,R12_RCPA,,
growth_activity_lo,biomass_NH3,,,,year,,-0.1,%,R12_RCPA,,
growth_activity_lo,biomass_NH3,,,,year,,-0.1,%,R12_EEU,,
growth_activity_lo,biomass_NH3,,,,year,,-0.1,%,R12_FSU,,
growth_activity_lo,biomass_NH3,,,,year,,-0.1,%,R12_LAM,,
growth_activity_lo,biomass_NH3,,,,year,,-0.1,%,R12_MEA,,
growth_activity_lo,biomass_NH3,,,,year,,-0.1,%,R12_NAM,,
growth_activity_lo,biomass_NH3,,,,year,,-0.1,%,R12_PAO,,
growth_activity_lo,biomass_NH3,,,,year,,-0.1,%,R12_PAS,,
growth_activity_lo,biomass_NH3,,,,year,,-0.1,%,R12_SAS,,
growth_activity_lo,biomass_NH3,,,,year,,-0.1,%,R12_WEU,,
growth_activity_lo,biomass_NH3,,,,year,,-0.1,%,R12_CHN,,
growth_activity_lo,biomass_NH3_ccs,,,,year,,-0.1,%,R12_AFR,,
growth_activity_lo,biomass_NH3_ccs,,,,year,,-0.1,%,R12_RCPA,,
growth_activity_lo,biomass_NH3_ccs,,,,year,,-0.1,%,R12_RCPA,,
growth_activity_lo,biomass_NH3_ccs,,,,year,,-0.1,%,R12_EEU,,
growth_activity_lo,biomass_NH3_ccs,,,,year,,-0.1,%,R12_FSU,,
growth_activity_lo,biomass_NH3_ccs,,,,year,,-0.1,%,R12_LAM,,
growth_activity_lo,biomass_NH3_ccs,,,,year,,-0.1,%,R12_MEA,,
growth_activity_lo,biomass_NH3_ccs,,,,year,,-0.1,%,R12_NAM,,
growth_activity_lo,biomass_NH3_ccs,,,,year,,-0.1,%,R12_PAO,,
growth_activity_lo,biomass_NH3_ccs,,,,year,,-0.1,%,R12_PAS,,
growth_activity_lo,biomass_NH3_ccs,,,,year,,-0.1,%,R12_SAS,,
growth_activity_lo,biomass_NH3_ccs,,,,year,,-0.1,%,R12_WEU,,
growth_activity_lo,biomass_NH3_ccs,,,,year,,-0.1,%,R12_CHN,,
growth_activity_lo,coal_NH3,,,,year,,-0.1,%,R12_AFR,,
growth_activity_lo,coal_NH3,,,,year,,-0.1,%,R12_RCPA,,
growth_activity_lo,coal_NH3,,,,year,,-0.1,%,R12_RCPA,,
growth_activity_lo,coal_NH3,,,,year,,-0.1,%,R12_EEU,,
growth_activity_lo,coal_NH3,,,,year,,-0.1,%,R12_FSU,,
growth_activity_lo,coal_NH3,,,,year,,-0.1,%,R12_LAM,,
growth_activity_lo,coal_NH3,,,,year,,-0.1,%,R12_MEA,,
growth_activity_lo,coal_NH3,,,,year,,-0.1,%,R12_NAM,,
growth_activity_lo,coal_NH3,,,,year,,-0.1,%,R12_PAO,,
growth_activity_lo,coal_NH3,,,,year,,-0.1,%,R12_PAS,,
growth_activity_lo,coal_NH3,,,,year,,-0.1,%,R12_SAS,,
growth_activity_lo,coal_NH3,,,,year,,-0.1,%,R12_WEU,,
growth_activity_lo,coal_NH3,,,,year,,-0.1,%,R12_CHN,,
growth_activity_lo,coal_NH3_ccs,,,,year,,-0.1,%,R12_AFR,,
growth_activity_lo,coal_NH3_ccs,,,,year,,-0.1,%,R12_RCPA,,
growth_activity_lo,coal_NH3_ccs,,,,year,,-0.1,%,R12_RCPA,,
growth_activity_lo,coal_NH3_ccs,,,,year,,-0.1,%,R12_EEU,,
growth_activity_lo,coal_NH3_ccs,,,,year,,-0.1,%,R12_FSU,,
growth_activity_lo,coal_NH3_ccs,,,,year,,-0.1,%,R12_LAM,,
growth_activity_lo,coal_NH3_ccs,,,,year,,-0.1,%,R12_MEA,,
growth_activity_lo,coal_NH3_ccs,,,,year,,-0.1,%,R12_NAM,,
growth_activity_lo,coal_NH3_ccs,,,,year,,-0.1,%,R12_PAO,,
growth_activity_lo,coal_NH3_ccs,,,,year,,-0.1,%,R12_PAS,,
growth_activity_lo,coal_NH3_ccs,,,,year,,-0.1,%,R12_SAS,,
growth_activity_lo,coal_NH3_ccs,,,,year,,-0.1,%,R12_WEU,,
growth_activity_lo,coal_NH3_ccs,,,,year,,-0.1,%,R12_CHN,,
growth_activity_lo,electr_NH3,,,,year,,-0.1,%,R12_AFR,,
growth_activity_lo,electr_NH3,,,,year,,-0.1,%,R12_RCPA,,
growth_activity_lo,electr_NH3,,,,year,,-0.1,%,R12_RCPA,,
growth_activity_lo,electr_NH3,,,,year,,-0.1,%,R12_EEU,,
growth_activity_lo,electr_NH3,,,,year,,-0.1,%,R12_FSU,,
growth_activity_lo,electr_NH3,,,,year,,-0.1,%,R12_LAM,,
growth_activity_lo,electr_NH3,,,,year,,-0.1,%,R12_MEA,,
growth_activity_lo,electr_NH3,,,,year,,-0.1,%,R12_NAM,,
growth_activity_lo,electr_NH3,,,,year,,-0.1,%,R12_PAO,,
growth_activity_lo,electr_NH3,,,,year,,-0.1,%,R12_PAS,,
growth_activity_lo,electr_NH3,,,,year,,-0.1,%,R12_SAS,,
growth_activity_lo,electr_NH3,,,,year,,-0.1,%,R12_WEU,,
growth_activity_lo,electr_NH3,,,,year,,-0.1,%,R12_CHN,,
growth_activity_lo,fueloil_NH3,,,,year,,-0.1,%,R12_AFR,,
growth_activity_lo,fueloil_NH3,,,,year,,-0.1,%,R12_RCPA,,
growth_activity_lo,fueloil_NH3,,,,year,,-0.1,%,R12_RCPA,,
growth_activity_lo,fueloil_NH3,,,,year,,-0.1,%,R12_EEU,,
growth_activity_lo,fueloil_NH3,,,,year,,-0.1,%,R12_FSU,,
growth_activity_lo,fueloil_NH3,,,,year,,-0.1,%,R12_LAM,,
growth_activity_lo,fueloil_NH3,,,,year,,-0.1,%,R12_MEA,,
growth_activity_lo,fueloil_NH3,,,,year,,-0.1,%,R12_NAM,,
growth_activity_lo,fueloil_NH3,,,,year,,-0.1,%,R12_PAO,,
growth_activity_lo,fueloil_NH3,,,,year,,-0.1,%,R12_PAS,,
growth_activity_lo,fueloil_NH3,,,,year,,-0.1,%,R12_SAS,,
growth_activity_lo,fueloil_NH3,,,,year,,-0.1,%,R12_WEU,,
growth_activity_lo,fueloil_NH3,,,,year,,-0.1,%,R12_CHN,,
growth_activity_lo,fueloil_NH3_ccs,,,,year,,-0.1,%,R12_AFR,,
growth_activity_lo,fueloil_NH3_ccs,,,,year,,-0.1,%,R12_RCPA,,
growth_activity_lo,fueloil_NH3_ccs,,,,year,,-0.1,%,R12_RCPA,,
growth_activity_lo,fueloil_NH3_ccs,,,,year,,-0.1,%,R12_EEU,,
growth_activity_lo,fueloil_NH3_ccs,,,,year,,-0.1,%,R12_FSU,,
growth_activity_lo,fueloil_NH3_ccs,,,,year,,-0.1,%,R12_LAM,,
growth_activity_lo,fueloil_NH3_ccs,,,,year,,-0.1,%,R12_MEA,,
growth_activity_lo,fueloil_NH3_ccs,,,,year,,-0.1,%,R12_NAM,,
growth_activity_lo,fueloil_NH3_ccs,,,,year,,-0.1,%,R12_PAO,,
growth_activity_lo,fueloil_NH3_ccs,,,,year,,-0.1,%,R12_PAS,,
growth_activity_lo,fueloil_NH3_ccs,,,,year,,-0.1,%,R12_SAS,,
growth_activity_lo,fueloil_NH3_ccs,,,,year,,-0.1,%,R12_WEU,,
growth_activity_lo,fueloil_NH3_ccs,,,,year,,-0.1,%,R12_CHN,,
growth_activity_lo,gas_NH3,,,,year,,-0.1,%,R12_AFR,,
growth_activity_lo,gas_NH3,,,,year,,-0.1,%,R12_RCPA,,
growth_activity_lo,gas_NH3,,,,year,,-0.1,%,R12_RCPA,,
growth_activity_lo,gas_NH3,,,,year,,-0.1,%,R12_EEU,,
growth_activity_lo,gas_NH3,,,,year,,-0.1,%,R12_FSU,,
growth_activity_lo,gas_NH3,,,,year,,-0.1,%,R12_LAM,,
growth_activity_lo,gas_NH3,,,,year,,-0.1,%,R12_MEA,,
growth_activity_lo,gas_NH3,,,,year,,-0.1,%,R12_NAM,,
growth_activity_lo,gas_NH3,,,,year,,-0.1,%,R12_PAO,,
growth_activity_lo,gas_NH3,,,,year,,-0.1,%,R12_PAS,,
growth_activity_lo,gas_NH3,,,,year,,-0.1,%,R12_SAS,,
growth_activity_lo,gas_NH3,,,,year,,-0.1,%,R12_WEU,,
growth_activity_lo,gas_NH3,,,,year,,-0.1,%,R12_CHN,,
growth_activity_lo,gas_NH3_ccs,,,,year,,-0.1,%,R12_AFR,,
growth_activity_lo,gas_NH3_ccs,,,,year,,-0.1,%,R12_RCPA,,
growth_activity_lo,gas_NH3_ccs,,,,year,,-0.1,%,R12_RCPA,,
growth_activity_lo,gas_NH3_ccs,,,,year,,-0.1,%,R12_EEU,,
growth_activity_lo,gas_NH3_ccs,,,,year,,-0.1,%,R12_FSU,,
growth_activity_lo,gas_NH3_ccs,,,,year,,-0.1,%,R12_LAM,,
growth_activity_lo,gas_NH3_ccs,,,,year,,-0.1,%,R12_MEA,,
growth_activity_lo,gas_NH3_ccs,,,,year,,-0.1,%,R12_NAM,,
growth_activity_lo,gas_NH3_ccs,,,,year,,-0.1,%,R12_PAO,,
growth_activity_lo,gas_NH3_ccs,,,,year,,-0.1,%,R12_PAS,,
growth_activity_lo,gas_NH3_ccs,,,,year,,-0.1,%,R12_SAS,,
growth_activity_lo,gas_NH3_ccs,,,,year,,-0.1,%,R12_WEU,,
growth_activity_lo,gas_NH3_ccs,,,,year,,-0.1,%,R12_CHN,,
initial_activity_up,biomass_NH3,,,,year,,0.5,GWa,R12_AFR,,
initial_activity_up,biomass_NH3,,,,year,,0.5,GWa,R12_RCPA,,
initial_activity_up,biomass_NH3,,,,year,,0.5,GWa,R12_EEU,,
initial_activity_up,biomass_NH3,,,,year,,0.5,GWa,R12_FSU,,
initial_activity_up,biomass_NH3,,,,year,,0.5,GWa,R12_LAM,,
initial_activity_up,biomass_NH3,,,,year,,0.5,GWa,R12_MEA,,
initial_activity_up,biomass_NH3,,,,year,,0.5,GWa,R12_NAM,,
initial_activity_up,biomass_NH3,,,,year,,0.5,GWa,R12_PAO,,
initial_activity_up,biomass_NH3,,,,year,,0.5,GWa,R12_PAS,,
initial_activity_up,biomass_NH3,,,,year,,0.5,GWa,R12_SAS,,
initial_activity_up,biomass_NH3,,,,year,,0.5,GWa,R12_WEU,,
initial_activity_up,biomass_NH3,,,,year,,0.5,GWa,R12_CHN,,
initial_activity_up,biomass_NH3_ccs,,,,year,,0.5,GWa,R12_AFR,,
initial_activity_up,biomass_NH3_ccs,,,,year,,0.5,GWa,R12_RCPA,,
initial_activity_up,biomass_NH3_ccs,,,,year,,0.5,GWa,R12_EEU,,
initial_activity_up,biomass_NH3_ccs,,,,year,,0.5,GWa,R12_FSU,,
initial_activity_up,biomass_NH3_ccs,,,,year,,0.5,GWa,R12_LAM,,
initial_activity_up,biomass_NH3_ccs,,,,year,,0.5,GWa,R12_MEA,,
initial_activity_up,biomass_NH3_ccs,,,,year,,0.5,GWa,R12_NAM,,
initial_activity_up,biomass_NH3_ccs,,,,year,,0.5,GWa,R12_PAO,,
initial_activity_up,biomass_NH3_ccs,,,,year,,0.5,GWa,R12_PAS,,
initial_activity_up,biomass_NH3_ccs,,,,year,,0.5,GWa,R12_SAS,,
initial_activity_up,biomass_NH3_ccs,,,,year,,0.5,GWa,R12_WEU,,
initial_activity_up,biomass_NH3_ccs,,,,year,,0.5,GWa,R12_CHN,,
initial_activity_up,coal_NH3,,,,year,,0.5,GWa,R12_AFR,,
initial_activity_up,coal_NH3,,,,year,,0.5,GWa,R12_RCPA,,
initial_activity_up,coal_NH3,,,,year,,0.5,GWa,R12_EEU,,
initial_activity_up,coal_NH3,,,,year,,0.5,GWa,R12_FSU,,
initial_activity_up,coal_NH3,,,,year,,0.5,GWa,R12_LAM,,
initial_activity_up,coal_NH3,,,,year,,0.5,GWa,R12_MEA,,
initial_activity_up,coal_NH3,,,,year,,0.5,GWa,R12_NAM,,
initial_activity_up,coal_NH3,,,,year,,0.5,GWa,R12_PAO,,
initial_activity_up,coal_NH3,,,,year,,0.5,GWa,R12_PAS,,
initial_activity_up,coal_NH3,,,,year,,0.5,GWa,R12_SAS,,
initial_activity_up,coal_NH3,,,,year,,0.5,GWa,R12_WEU,,
initial_activity_up,coal_NH3,,,,year,,0.5,GWa,R12_CHN,,
initial_activity_up,coal_NH3_ccs,,,,year,,0.5,GWa,R12_AFR,,
initial_activity_up,coal_NH3_ccs,,,,year,,0.5,GWa,R12_RCPA,,
initial_activity_up,coal_NH3_ccs,,,,year,,0.5,GWa,R12_EEU,,
initial_activity_up,coal_NH3_ccs,,,,year,,0.5,GWa,R12_FSU,,
initial_activity_up,coal_NH3_ccs,,,,year,,0.5,GWa,R12_LAM,,
initial_activity_up,coal_NH3_ccs,,,,year,,0.5,GWa,R12_MEA,,
initial_activity_up,coal_NH3_ccs,,,,year,,0.5,GWa,R12_NAM,,
initial_activity_up,coal_NH3_ccs,,,,year,,0.5,GWa,R12_PAO,,
initial_activity_up,coal_NH3_ccs,,,,year,,0.5,GWa,R12_PAS,,
initial_activity_up,coal_NH3_ccs,,,,year,,0.5,GWa,R12_SAS,,
initial_activity_up,coal_NH3_ccs,,,,year,,0.5,GWa,R12_WEU,,
initial_activity_up,coal_NH3_ccs,,,,year,,0.5,GWa,R12_CHN,,
initial_activity_up,electr_NH3,,,,year,,0.5,GWa,R12_AFR,,
initial_activity_up,electr_NH3,,,,year,,0.5,GWa,R12_RCPA,,
initial_activity_up,electr_NH3,,,,year,,0.5,GWa,R12_EEU,,
initial_activity_up,electr_NH3,,,,year,,0.5,GWa,R12_FSU,,
initial_activity_up,electr_NH3,,,,year,,0.5,GWa,R12_LAM,,
initial_activity_up,electr_NH3,,,,year,,0.5,GWa,R12_MEA,,
initial_activity_up,electr_NH3,,,,year,,0.5,GWa,R12_NAM,,
initial_activity_up,electr_NH3,,,,year,,0.5,GWa,R12_PAO,,
initial_activity_up,electr_NH3,,,,year,,0.5,GWa,R12_PAS,,
initial_activity_up,electr_NH3,,,,year,,0.5,GWa,R12_SAS,,
initial_activity_up,electr_NH3,,,,year,,0.5,GWa,R12_WEU,,
initial_activity_up,electr_NH3,,,,year,,0.5,GWa,R12_CHN,,
initial_activity_up,fueloil_NH3,,,,year,,0.5,GWa,R12_AFR,,
initial_activity_up,fueloil_NH3,,,,year,,0.5,GWa,R12_RCPA,,
initial_activity_up,fueloil_NH3,,,,year,,0.5,GWa,R12_EEU,,
initial_activity_up,fueloil_NH3,,,,year,,0.5,GWa,R12_FSU,,
initial_activity_up,fueloil_NH3,,,,year,,0.5,GWa,R12_LAM,,
initial_activity_up,fueloil_NH3,,,,year,,0.5,GWa,R12_MEA,,
initial_activity_up,fueloil_NH3,,,,year,,0.5,GWa,R12_NAM,,
initial_activity_up,fueloil_NH3,,,,year,,0.5,GWa,R12_PAO,,
initial_activity_up,fueloil_NH3,,,,year,,0.5,GWa,R12_PAS,,
initial_activity_up,fueloil_NH3,,,,year,,0.5,GWa,R12_SAS,,
initial_activity_up,fueloil_NH3,,,,year,,0.5,GWa,R12_WEU,,
initial_activity_up,fueloil_NH3,,,,year,,0.5,GWa,R12_CHN,,
initial_activity_up,fueloil_NH3_ccs,,,,year,,0.5,GWa,R12_AFR,,
initial_activity_up,fueloil_NH3_ccs,,,,year,,0.5,GWa,R12_RCPA,,
initial_activity_up,fueloil_NH3_ccs,,,,year,,0.5,GWa,R12_EEU,,
initial_activity_up,fueloil_NH3_ccs,,,,year,,0.5,GWa,R12_FSU,,
initial_activity_up,fueloil_NH3_ccs,,,,year,,0.5,GWa,R12_LAM,,
initial_activity_up,fueloil_NH3_ccs,,,,year,,0.5,GWa,R12_MEA,,
initial_activity_up,fueloil_NH3_ccs,,,,year,,0.5,GWa,R12_NAM,,
initial_activity_up,fueloil_NH3_ccs,,,,year,,0.5,GWa,R12_PAO,,
initial_activity_up,fueloil_NH3_ccs,,,,year,,0.5,GWa,R12_PAS,,
initial_activity_up,fueloil_NH3_ccs,,,,year,,0.5,GWa,R12_SAS,,
initial_activity_up,fueloil_NH3_ccs,,,,year,,0.5,GWa,R12_WEU,,
initial_activity_up,fueloil_NH3_ccs,,,,year,,0.5,GWa,R12_CHN,,
initial_activity_up,gas_NH3,,,,year,,0.5,GWa,R12_AFR,,
initial_activity_up,gas_NH3,,,,year,,0.5,GWa,R12_RCPA,,
initial_activity_up,gas_NH3,,,,year,,0.5,GWa,R12_EEU,,
initial_activity_up,gas_NH3,,,,year,,0.5,GWa,R12_FSU,,
initial_activity_up,gas_NH3,,,,year,,0.5,GWa,R12_LAM,,
initial_activity_up,gas_NH3,,,,year,,0.5,GWa,R12_MEA,,
initial_activity_up,gas_NH3,,,,year,,0.5,GWa,R12_NAM,,
initial_activity_up,gas_NH3,,,,year,,0.5,GWa,R12_PAO,,
initial_activity_up,gas_NH3,,,,year,,0.5,GWa,R12_PAS,,
initial_activity_up,gas_NH3,,,,year,,0.5,GWa,R12_SAS,,
initial_activity_up,gas_NH3,,,,year,,0.5,GWa,R12_WEU,,
initial_activity_up,gas_NH3,,,,year,,0.5,GWa,R12_CHN,,
initial_activity_up,gas_NH3_ccs,,,,year,,0.5,GWa,R12_AFR,,
initial_activity_up,gas_NH3_ccs,,,,year,,0.5,GWa,R12_RCPA,,
initial_activity_up,gas_NH3_ccs,,,,year,,0.5,GWa,R12_EEU,,
initial_activity_up,gas_NH3_ccs,,,,year,,0.5,GWa,R12_FSU,,
initial_activity_up,gas_NH3_ccs,,,,year,,0.5,GWa,R12_LAM,,
initial_activity_up,gas_NH3_ccs,,,,year,,0.5,GWa,R12_MEA,,
initial_activity_up,gas_NH3_ccs,,,,year,,0.5,GWa,R12_NAM,,
initial_activity_up,gas_NH3_ccs,,,,year,,0.5,GWa,R12_PAO,,
initial_activity_up,gas_NH3_ccs,,,,year,,0.5,GWa,R12_PAS,,
initial_activity_up,gas_NH3_ccs,,,,year,,0.5,GWa,R12_SAS,,
initial_activity_up,gas_NH3_ccs,,,,year,,0.5,GWa,R12_WEU,,
initial_activity_up,gas_NH3_ccs,,,,year,,0.5,GWa,R12_CHN,,
