parameter,node_loc,technology,year_act,mode,time,value,unit,year_vtg
historical_new_capacity,R12_CHN,gas_NH3,,,,0.6464562449999999,t,2000.0
historical_new_capacity,R12_EEU,gas_NH3,,,,0.35954215500000003,t,2000.0
historical_new_capacity,R12_FSU,gas_NH3,,,,1.532970435,t,2000.0
historical_new_capacity,R12_LAM,gas_NH3,,,,0.6840935850000002,t,2000.0
historical_new_capacity,R12_MEA,gas_NH3,,,,0.9270489000000001,t,2000.0
historical_new_capacity,R12_NAM,gas_NH3,,,,1.02383595,t,2000.0
historical_new_capacity,R12_PAO,gas_NH3,,,,0.139926765,t,2000.0
historical_new_capacity,R12_PAS,gas_NH3,,,,0.293207055,t,2000.0
historical_new_capacity,R12_RCPA,gas_NH3,,,,0.0,t,2000.0
historical_new_capacity,R12_SAS,gas_NH3,,,,1.180347585,t,2000.0
historical_new_capacity,R12_WEU,gas_NH3,,,,0.771533715,t,2000.0
historical_new_capacity,R12_AFR,gas_NH3,,,,0.447023895,t,2005.0
historical_new_capacity,R12_CHN,gas_NH3,,,,0.6464562449999999,t,2005.0
historical_new_capacity,R12_EEU,gas_NH3,,,,0.35954215500000003,t,2005.0
historical_new_capacity,R12_FSU,gas_NH3,,,,1.532970435,t,2005.0
historical_new_capacity,R12_LAM,gas_NH3,,,,0.6840935850000002,t,2005.0
historical_new_capacity,R12_MEA,gas_NH3,,,,0.9270489000000001,t,2005.0
historical_new_capacity,R12_NAM,gas_NH3,,,,1.02383595,t,2005.0
historical_new_capacity,R12_PAO,gas_NH3,,,,0.139926765,t,2005.0
historical_new_capacity,R12_PAS,gas_NH3,,,,0.293207055,t,2005.0
historical_new_capacity,R12_RCPA,gas_NH3,,,,0.0,t,2005.0
historical_new_capacity,R12_SAS,gas_NH3,,,,1.180347585,t,2005.0
historical_new_capacity,R12_WEU,gas_NH3,,,,0.771533715,t,2005.0
historical_new_capacity,R12_AFR,gas_NH3,,,,0.0,t,2015.0
historical_new_capacity,R12_CHN,gas_NH3,,,,0.17682498,t,2015.0
historical_new_capacity,R12_EEU,gas_NH3,,,,0.057148050000000006,t,2015.0
historical_new_capacity,R12_FSU,gas_NH3,,,,0.29249640000000005,t,2015.0
historical_new_capacity,R12_LAM,gas_NH3,,,,0.0,t,2015.0
historical_new_capacity,R12_MEA,gas_NH3,,,,0.6542625000000001,t,2015.0
historical_new_capacity,R12_NAM,gas_NH3,,,,0.40242783,t,2015.0
historical_new_capacity,R12_PAO,gas_NH3,,,,0.0367263,t,2015.0
historical_new_capacity,R12_PAS,gas_NH3,,,,1.946352645,t,2015.0
historical_new_capacity,R12_RCPA,gas_NH3,,,,0.036298155,t,2015.0
historical_new_capacity,R12_SAS,gas_NH3,,,,0.22732528500000002,t,2015.0
historical_new_capacity,R12_WEU,gas_NH3,,,,0.009302025000000002,t,2015.0
historical_activity,R12_EEU,fueloil_NH3,2015.0,M1,year,0.25931,t,
historical_activity,R12_LAM,fueloil_NH3,2015.0,M1,year,0.479881,t,
historical_activity,R12_SAS,fueloil_NH3,2015.0,M1,year,1.030843,t,
historical_activity,R12_WEU,fueloil_NH3,2015.0,M1,year,0.530571,t,
historical_new_capacity,R12_EEU,fueloil_NH3,,,,0.017976615,t,2010.0
historical_new_capacity,R12_LAM,fueloil_NH3,,,,0.040366080000000006,t,2010.0
historical_new_capacity,R12_SAS,fueloil_NH3,,,,0.070711815,t,2010.0
historical_new_capacity,R12_WEU,fueloil_NH3,,,,0.038576849999999996,t,2010.0
historical_new_capacity,R12_EEU,fueloil_NH3,,,,0.017976615,t,2000.0
historical_new_capacity,R12_LAM,fueloil_NH3,,,,0.040366080000000006,t,2000.0
historical_new_capacity,R12_SAS,fueloil_NH3,,,,0.070711815,t,2000.0
historical_new_capacity,R12_WEU,fueloil_NH3,,,,0.038576849999999996,t,2000.0
historical_new_capacity,R12_EEU,fueloil_NH3,,,,0.017976615,t,2005.0
historical_new_capacity,R12_LAM,fueloil_NH3,,,,0.040366080000000006,t,2005.0
historical_new_capacity,R12_SAS,fueloil_NH3,,,,0.070711815,t,2005.0
historical_new_capacity,R12_WEU,fueloil_NH3,,,,0.038576849999999996,t,2005.0
historical_new_capacity,R12_EEU,fueloil_NH3,,,,0.019071607819184648,t,2015.0
historical_new_capacity,R12_LAM,fueloil_NH3,,,,0.0,t,2015.0
historical_new_capacity,R12_SAS,fueloil_NH3,,,,0.013618515000000001,t,2015.0
historical_new_capacity,R12_WEU,fueloil_NH3,,,,0.000465375,t,2015.0
historical_new_capacity,R12_AFR,export_NH3,,,,0.0,t,2005.0
historical_new_capacity,R12_CHN,export_NH3,,,,9.39776e-05,t,2005.0
historical_new_capacity,R12_EEU,export_NH3,,,,0.001510387599999996,t,2005.0
historical_new_capacity,R12_FSU,export_NH3,,,,0.05538990439999995,t,2005.0
historical_new_capacity,R12_LAM,export_NH3,,,,0.1521950668000001,t,2005.0
historical_new_capacity,R12_MEA,export_NH3,,,,0.04753698839999996,t,2005.0
historical_new_capacity,R12_NAM,export_NH3,,,,0.0,t,2005.0
historical_new_capacity,R12_PAO,export_NH3,,,,0.0048910154,t,2005.0
historical_new_capacity,R12_PAS,export_NH3,,,,0.07944940200000002,t,2005.0
historical_new_capacity,R12_RCPA,export_NH3,,,,0.0,t,2005.0
historical_new_capacity,R12_SAS,export_NH3,,,,0.0001903689999999986,t,2005.0
historical_new_capacity,R12_WEU,export_NH3,,,,0.0174916604,t,2005.0
historical_new_capacity,R12_AFR,export_NH3,,,,0.035066153,t,2010.0
historical_new_capacity,R12_CHN,export_NH3,,,,0.0002100384,t,2010.0
historical_new_capacity,R12_EEU,export_NH3,,,,0.0,t,2010.0
historical_new_capacity,R12_FSU,export_NH3,,,,0.0,t,2010.0
historical_new_capacity,R12_LAM,export_NH3,,,,0.07868515139999994,t,2010.0
historical_new_capacity,R12_MEA,export_NH3,,,,0.3537120248,t,2010.0
historical_new_capacity,R12_NAM,export_NH3,,,,0.0,t,2010.0
historical_new_capacity,R12_PAO,export_NH3,,,,0.1155757954,t,2010.0
historical_new_capacity,R12_PAS,export_NH3,,,,0.0,t,2010.0
