region,year,en_sav_ren,shr_acc,eff,shr_floor,f_hours
PAS,2065,0.0,0.6317653601818183,4.135294118,0.45,0.16666666666666666
PAS,2070,0.0,0.6530546815606061,4.258823529,0.45,0.16666666666666666
PAS,2075,0.0,0.6859827048181818,4.382352941,0.45,0.16666666666666666
PAS,2080,0.0,0.719553387878788,4.505882353,0.45,0.16666666666666666
PAS,2085,0.0,0.7496971450909091,4.629411765,0.45,0.16666666666666666
PAS,2090,0.0,0.777467177,4.752941176,0.45,0.16666666666666666
PAS,2095,0.0,0.8029042005454545,4.876470588,0.45,0.16666666666666666
PAS,2100,0.0,0.8224297050757575,5.0,0.45,0.16666666666666666
SAS,2015,0.0,0.08980305897222222,2.9,0.45,0.16666666666666666
SAS,2020,0.0,0.10999626593333332,3.023529412,0.45,0.16666666666666666
SAS,2025,0.0,0.12723694286111112,3.147058824,0.45,0.16666666666666666
SAS,2030,0.0,0.14248123821666667,3.270588235,0.45,0.16666666666666666
SAS,2035,0.0,0.15841816163333333,3.394117647,0.45,0.16666666666666666
SAS,2040,0.0,0.17842817195555555,3.517647059,0.45,0.16666666666666666
SAS,2045,0.0,0.20960578317777778,3.641176471,0.45,0.16666666666666666
SAS,2050,0.0,0.24584119696666668,3.764705882,0.45,0.16666666666666666
SAS,2055,0.0,0.28269163464999997,3.888235294,0.45,0.16666666666666666
SAS,2060,0.0,0.32248771420555555,4.011764706,0.45,0.16666666666666666
SAS,2065,0.0,0.3658380704055556,4.135294118,0.45,0.16666666666666666
SAS,2070,0.0,0.4124539620722222,4.258823529,0.45,0.16666666666666666
SAS,2075,0.0,0.4611838251777778,4.382352941,0.45,0.16666666666666666
SAS,2080,0.0,0.5084062840388889,4.505882353,0.45,0.16666666666666666
SAS,2085,0.0,0.5544357071111111,4.629411765,0.45,0.16666666666666666
SAS,2090,0.0,0.5945630503333333,4.752941176,0.45,0.16666666666666666
SAS,2095,0.0,0.6287670264111112,4.876470588,0.45,0.16666666666666666
SAS,2100,0.0,0.6555982865055555,5.0,0.45,0.16666666666666666
WEU,2015,0.0,0.2026178577159091,3.0,0.91,0.3333333333333333
WEU,2020,0.0,0.21865060128030303,3.117647059,0.91,0.3333333333333333
WEU,2025,0.0,0.23498484063257574,3.235294118,0.91,0.3333333333333333
WEU,2030,0.0,0.25099991536363636,3.352941176,0.91,0.3333333333333333
WEU,2035,0.0,0.26568930079166664,3.470588235,0.91,0.3333333333333333
WEU,2040,0.0,0.27784765426136365,3.588235294,0.91,0.3333333333333333
