# METADATA: Residential/Commercial shares of the calibrated buildings component in aggregate rc_spec/rc_therm
# Sources: WP - RC demands/Output/ssp_baseline/rc_calibrated_GWa_SSP1.csv, _staging/rc_demands/SSP_SSP1_v6.5_CID__baseline__rc_{spec,therm}.csv
# Formula: frac_resid_X = resid_X_GWa / rc_aggregate_GWa; frac_comm_X = comm_X_GWa / rc_aggregate_GWa
# Scope: cooling = resid_cool_electr + comm_cool_electr; heating = resid_heat_* + comm_heat_* (excludes cooking and hotwater)
# Years: from first nonzero buildings component to 2100
# Generated: 2026-05-04
node,year,frac_resid_cool,frac_comm_cool,frac_resid_heat,frac_comm_heat
R12_PAS,2050,0.19504111561296134,0.2677260584692819,0.2249648591728882,0.0421152296254295
R12_PAS,2060,0.2235916809371566,0.2797384177112428,0.22435857220797198,0.04490997229589783
R12_PAS,2070,0.22495183200371818,0.27712276612032716,0.2296258129208709,0.04781665279835749
R12_PAS,2080,0.21936764291338604,0.28574844593505105,0.22391949325081292,0.04696574181695472
R12_PAS,2090,0.20865331079587376,0.2894755804814093,0.219900244543661,0.0468644213454465
R12_PAS,2100,0.1968004856747939,0.275868550121322,0.2166581236273644,0.04748453793954707
R12_RCPA,2020,0.27947500499638056,0.06829714123888539,0.23752930372685993,0.09051979490742561
R12_RCPA,2025,0.38656277955545587,0.04932118734128023,0.24478552026376074,0.08334472455696083
R12_RCPA,2030,0.4305250647467888,0.05274798709336067,0.2262957826854768,0.08980040814945248
R12_RCPA,2040,0.3928246828903821,0.06995147639352081,0.22826062073211137,0.09250241265075318
R12_RCPA,2050,0.4132303164426239,0.12917483706738414,0.21981544531768837,0.09028741597742265
R12_RCPA,2060,0.4002535075528621,0.19222299770690768,0.2207993152531463,0.09032829724358402
R12_RCPA,2070,0.384800943591352,0.20978521513214485,0.2130999265448838,0.08791764267218685
R12_RCPA,2080,0.3764455486595034,0.20140072840177514,0.20338027998531885,0.0837755199485375
R12_RCPA,2090,0.3716221898208241,0.18922985452123806,0.2000940280003834,0.0818835627871497
R12_RCPA,2100,0.36036855393615,0.18067358097890387,0.19641834257692634,0.08009823036952132
R12_SAS,2020,0.20796306508695545,0.03749995519460634,0.21078416905845646,0.030797157490279087
R12_SAS,2025,0.28572834476525194,0.03542184463630637,0.20160922396697395,0.029502165567441865
