BCU_name,year,tec_type,cap_km3_year
124|SAS,2010,distillation,0.01640410437414837
124|SAS,2010,membrane,0.042545948790563906
124|SAS,2015,distillation,0.026384722385755104
124|SAS,2015,membrane,0.11182750872863546
124|SAS,2020,distillation,0.060955895085929634
124|SAS,2020,membrane,0.1466111747294299
124|SAS,2025,distillation,0.060955895085929634
124|SAS,2025,membrane,0.1466111747294299
126|NAM,1995,membrane,0.004582835607895152
126|NAM,2000,membrane,0.005486727847239469
126|NAM,2005,membrane,0.008260146995800103
126|NAM,2010,membrane,0.00920606576368729
126|NAM,2015,membrane,0.010413860596512428
126|NAM,2020,membrane,0.00439188330938004
126|NAM,2025,membrane,0.00439188330938004
127|WEU,1995,distillation,9.405460700675057e-05
127|WEU,1995,membrane,0.00013616279800586977
127|WEU,2000,distillation,0.00014891395603752747
127|WEU,2000,membrane,0.00028352024451660704
127|WEU,2005,distillation,7.962637791634172e-05
127|WEU,2005,membrane,0.0005306653588929712
127|WEU,2010,distillation,3.726746976276963e-05
127|WEU,2010,membrane,0.0008735007688716559
127|WEU,2015,distillation,0.00027063516466902215
127|WEU,2015,membrane,0.0005256676423194852
127|WEU,2020,distillation,0.00024389873319020263
127|WEU,2020,membrane,0.00020298891440616147
127|WEU,2025,distillation,0.00024389873319020263
127|WEU,2025,membrane,0.00020298891440616147
130|AFR,1995,membrane,0.0006787781253028905
130|AFR,2000,membrane,0.0006941318408689192
130|AFR,2005,membrane,0.0025198761062577043
130|AFR,2010,membrane,0.014615092351962797
130|AFR,2015,membrane,0.025937625196310404
130|AFR,2020,membrane,0.01512713799703895
130|AFR,2025,membrane,0.01512713799703895
135|AFR,1995,membrane,0.0004808011720895473
135|AFR,2000,membrane,0.0004916767206154843
135|AFR,2005,membrane,0.0017849122419325402
135|AFR,2010,membrane,0.010352357082640313
135|AFR,2015,membrane,0.0183724845140532
135|AFR,2020,membrane,0.010715056081235921
135|AFR,2025,membrane,0.010715056081235921
136|AFR,1995,membrane,0.00010092754896439311
136|AFR,2000,membrane,0.0001032104935994817
136|AFR,2005,membrane,0.00037468048780305284
136|AFR,2010,membrane,0.0021731187172739776
136|AFR,2015,membrane,0.003856666618200973
136|AFR,2020,membrane,0.00224925480650397
136|AFR,2025,membrane,0.00224925480650397
137|LAM,1995,membrane,1.3025751028372233e-05
137|LAM,2000,membrane,4.3048627603033276e-05
137|LAM,2005,membrane,7.742519526033901e-05
137|LAM,2010,membrane,0.00015911704021852747
137|LAM,2015,membrane,0.0004323483283722408
137|LAM,2020,membrane,0.00046333483433362723
137|LAM,2025,membrane,0.00046333483433362723
13|AFR,1995,membrane,2.497474732455099e-05
13|AFR,2000,membrane,2.5539667071461634e-05
13|AFR,2005,membrane,9.271552322767756e-05
13|AFR,2010,membrane,0.0005377430783473926
13|AFR,2015,membrane,0.0009543407651619577
13|AFR,2020,membrane,0.0005565831236106474
13|AFR,2025,membrane,0.0005565831236106474
140|PAS,1995,membrane,1.2778650281712531e-05
140|PAS,2000,membrane,2.266677195905589e-05
140|PAS,2005,membrane,5.0643881818207345e-05
140|PAS,2010,membrane,7.113203102290095e-05
140|PAS,2015,membrane,0.00012409559544540792
140|PAS,2020,membrane,0.00011674297633781167
140|PAS,2025,membrane,0.00011674297633781167
141|SAS,1995,membrane,0.0005050040462733442
141|SAS,2000,membrane,0.000638257191835989
141|SAS,2005,membrane,0.0015251739827140507
141|SAS,2010,membrane,0.004030859005127249
141|SAS,2015,membrane,0.010594684885244319
141|SAS,2020,membrane,0.013890135035406136
141|SAS,2025,membrane,0.013890135035406136
142|NAM,1995,membrane,0.00675622538160364
142|NAM,2000,membrane,0.00808878456814131
142|NAM,2005,membrane,0.01217748563632931
142|NAM,2010,membrane,0.013572002249040604
142|NAM,2015,membrane,0.015352588506868601
142|NAM,2020,membrane,0.006474714789410285
142|NAM,2025,membrane,0.006474714789410285
143|PAS,1995,distillation,0.002489563120395962
143|PAS,1995,membrane,0.0002780190767997986
143|PAS,2000,distillation,0.002343357200616449
143|PAS,2000,membrane,0.0004931502838845783
143|PAS,2005,distillation,0.0009352672857737483
143|PAS,2005,membrane,0.0011018350888595712
143|PAS,2010,distillation,0.0009088310367210752
143|PAS,2010,membrane,0.0015475861033761122
143|PAS,2015,distillation,0.0036864961689129627
143|PAS,2015,membrane,0.002699889434334684
143|PAS,2020,distillation,0.002006690447500545
143|PAS,2020,membrane,0.0025399219627089942
143|PAS,2025,distillation,0.002006690447500545
143|PAS,2025,membrane,0.0025399219627089942
144|PAS,1995,distillation,0.000714251429643116
144|PAS,1995,membrane,0.0020260831571992915
144|PAS,2000,distillation,0.0006723051996522915
144|PAS,2000,membrane,0.0035938666355118153
144|PAS,2005,distillation,0.0002683265953329552
144|PAS,2005,membrane,0.00802969904528213
144|PAS,2010,distillation,0.00026074208039313313
144|PAS,2010,membrane,0.01127814024295866
144|PAS,2015,distillation,0.001057649487754769
144|PAS,2015,membrane,0.01967563007607897
144|PAS,2020,distillation,0.0005757160801572634
144|PAS,2020,membrane,0.018509856116639647
144|PAS,2025,distillation,0.0005757160801572634
144|PAS,2025,membrane,0.018509856116639647
145|WEU,1995,membrane,2.690278834693562e-05
145|WEU,2000,membrane,5.601739419289037e-05
145|WEU,2005,membrane,0.00010484785890440353
145|WEU,2010,membrane,0.00017258463141178
145|WEU,2015,membrane,0.00010386041950712654
145|WEU,2020,membrane,4.010616615566154e-05
145|WEU,2025,membrane,4.010616615566154e-05
146|FSU,1995,distillation,0.004258613149719989
146|FSU,1995,membrane,0.0024650058899409926
146|FSU,2000,distillation,0.00044916446817578275
146|FSU,2000,membrane,0.0031488283428822983
146|FSU,2005,distillation,0.0012792288094344894
146|FSU,2005,membrane,0.007746410311231108
146|FSU,2010,distillation,0.0013148123732788966
146|FSU,2010,membrane,0.007946095503194655
146|FSU,2015,distillation,0.0033490581651911744
146|FSU,2015,membrane,0.008395704171905312
146|FSU,2020,membrane,0.016533752721753864
146|FSU,2025,membrane,0.016533752721753864
147|PAS,1995,distillation,0.0009206426243353406
147|PAS,1995,membrane,0.003991111581509902
147|PAS,2000,distillation,0.0008665755470331334
147|PAS,2000,membrane,0.007079434375843026
147|PAS,2005,distillation,0.00034586266215768264
147|PAS,2005,membrane,0.015817428194785706
147|PAS,2010,distillation,0.00033608651408333106
147|PAS,2010,membrane,0.022216420871780468
147|PAS,2015,distillation,0.0013632695149381898
147|PAS,2015,membrane,0.03875834749976115
147|PAS,2020,distillation,0.0007420758866004278
147|PAS,2020,membrane,0.03646192944090293
147|PAS,2025,distillation,0.0007420758866004278
147|PAS,2025,membrane,0.03646192944090293
14|MEA,1995,distillation,0.18033817134720684
14|MEA,1995,membrane,0.10690524980193236
14|MEA,2000,distillation,0.38988776996927754
14|MEA,2000,membrane,0.10861692389770738
14|MEA,2005,distillation,0.8487519400944998
14|MEA,2005,membrane,0.26831313937011564
14|MEA,2010,distillation,1.279999484623712
14|MEA,2010,membrane,0.6065798879924381
14|MEA,2015,distillation,0.85186945087386
14|MEA,2015,membrane,0.9230385706398457
14|MEA,2020,distillation,0.537375886607444
14|MEA,2020,membrane,0.593053136838995
14|MEA,2025,distillation,0.537375886607444
14|MEA,2025,membrane,0.593053136838995
150|WEU,1995,distillation,0.0023711691065752324
150|WEU,1995,membrane,0.0022680709498937883
150|WEU,2000,distillation,0.0037542038963465597
150|WEU,2000,membrane,0.004722611753815308
150|WEU,2005,distillation,0.0020074254030976128
150|WEU,2005,membrane,0.008839321035164277
150|WEU,2010,distillation,0.0009395337006231239
150|WEU,2010,membrane,0.014549948646782995
150|WEU,2015,distillation,0.006822863462392946
150|WEU,2015,membrane,0.008756073805068158
150|WEU,2020,distillation,0.006148823111152181
150|WEU,2020,membrane,0.0033811971159350344
150|WEU,2025,distillation,0.006148823111152181
150|WEU,2025,membrane,0.0033811971159350344
151|MEA,1995,membrane,0.009876374579399673
151|MEA,2000,membrane,0.010034506519216007
151|MEA,2005,membrane,0.024787941414510708
151|MEA,2010,membrane,0.05603850322826082
151|MEA,2015,membrane,0.08527434051894428
151|MEA,2020,membrane,0.05478884279080571
151|MEA,2025,membrane,0.05478884279080571
153|NAM,1995,distillation,0.0012725104942893088
153|NAM,1995,membrane,0.026886625277175714
153|NAM,2000,distillation,0.0007957593245268098
153|NAM,2000,membrane,0.03218958920813806
153|NAM,2005,distillation,0.0014761161621567546
153|NAM,2005,membrane,0.048460712103192485
153|NAM,2010,distillation,0.0015856058568045532
153|NAM,2010,membrane,0.05401023768753075
153|NAM,2015,distillation,0.0030064238600242916
153|NAM,2015,membrane,0.06109614036008883
153|NAM,2020,distillation,0.005643608871408041
153|NAM,2020,membrane,0.025766344443373508
153|NAM,2025,distillation,0.005643608871408041
153|NAM,2025,membrane,0.025766344443373508
154|FSU,1995,membrane,0.0020002629417282115
154|FSU,2000,membrane,0.0025551600788595637
154|FSU,2005,membrane,0.006285931218341959
154|FSU,2010,membrane,0.00644796851453119
154|FSU,2015,membrane,0.006812809654250824
154|FSU,2020,membrane,0.013416541109284686
154|FSU,2025,membrane,0.013416541109284686
155|LAM,1995,membrane,0.00017639037850922435
155|LAM,2000,membrane,0.0005829501654577986
155|LAM,2005,membrane,0.001048466185817192
155|LAM,2010,membrane,0.002154709919626101
155|LAM,2015,membrane,0.005854716946707993
155|LAM,2020,membrane,0.006274325881601807
155|LAM,2025,membrane,0.006274325881601807
156|RCPA,1995,membrane,0.03620021579825754
156|RCPA,2000,membrane,0.04272464974879496
156|RCPA,2005,membrane,0.08506244950463525
156|RCPA,2010,membrane,0.1205264866099704
156|RCPA,2015,membrane,0.11320604802868364
156|RCPA,2020,membrane,0.08741792821637528
156|RCPA,2025,membrane,0.08741792821637528
157|FSU,1995,distillation,0.006085816039109277
157|FSU,1995,membrane,0.0003047786885385076
157|FSU,2000,distillation,0.0006418832207855982
157|FSU,2000,membrane,0.0003893279836339548
157|FSU,2005,distillation,0.0018280954227220588
157|FSU,2005,membrane,0.0009577830159240334
157|FSU,2010,distillation,0.0018789464899497082
157|FSU,2010,membrane,0.00098247252728608
157|FSU,2015,distillation,0.004786006894984222
157|FSU,2015,membrane,0.0010380631207870385
157|FSU,2020,membrane,0.0020442691401750565
157|FSU,2025,membrane,0.0020442691401750565
158|AFR,1995,membrane,0.0006080720705838393
158|AFR,2000,membrane,0.0006218264407784066
158|AFR,2005,membrane,0.00225738901185586
158|AFR,2010,membrane,0.013092686898633339
158|AFR,2015,membrane,0.023235789238361403
158|AFR,2020,membrane,0.013551394455680725
158|AFR,2025,membrane,0.013551394455680725
159|CHN,1995,distillation,0.00015623942790218305
159|CHN,1995,membrane,0.006324690584249608
159|CHN,2000,distillation,0.0005366027912384794
159|CHN,2000,membrane,0.021216703272980135
159|CHN,2005,distillation,0.014403973202889615
159|CHN,2005,membrane,0.048668088381091136
159|CHN,2010,distillation,0.020619504366698814
159|CHN,2010,membrane,0.14797121185867798
159|CHN,2015,distillation,0.024832154662626473
159|CHN,2015,membrane,0.1850153241639832
159|CHN,2020,distillation,0.022410634325005476
159|CHN,2020,membrane,0.1508648793465328
159|CHN,2025,distillation,0.022410634325005476
159|CHN,2025,membrane,0.1508648793465328
15|SAS,1995,distillation,0.0011439253198113016
15|SAS,1995,membrane,0.0006526986999360971
15|SAS,2000,distillation,0.0036017804582245063
15|SAS,2000,membrane,0.0008249233692490576
15|SAS,2005,distillation,0.0016201130139947863
15|SAS,2005,membrane,0.0019712299001164754
15|SAS,2010,distillation,0.008429460951765654
15|SAS,2010,membrane,0.005209733370825735
15|SAS,2015,distillation,0.01355813045327848
15|SAS,2015,membrane,0.013693230978764515
15|SAS,2020,distillation,0.031322974158620794
15|SAS,2020,membrane,0.017952476116674942
15|SAS,2025,distillation,0.031322974158620794
15|SAS,2025,membrane,0.017952476116674942
160|FSU,1995,distillation,5.002299163659803e-05
160|FSU,1995,membrane,0.0030473198418997796
160|FSU,2000,distillation,5.27602523288398e-06
160|FSU,2000,membrane,0.003892683229341625
160|FSU,2005,distillation,1.5026218580066195e-05
160|FSU,2005,membrane,0.009576362450588984
160|FSU,2010,distillation,1.544419416366814e-05
160|FSU,2010,membrane,0.009823219729951774
160|FSU,2015,distillation,3.9339076525148533e-05
