MODEL,SCENARIO,YEAR,IMPORTER,MESSAGETEC,LEVEL,UNITS,COMMODITY
NP_SSP2_6.2,baseline,2035,R12_SAS,gas_imp,177.3305617580228,GWa,gas (GWa)
NP_SSP2_6.2,baseline,2040,R12_SAS,gas_imp,229.08654206453213,GWa,gas (GWa)
NP_SSP2_6.2,baseline,2045,R12_SAS,gas_imp,295.14174547884306,GWa,gas (GWa)
NP_SSP2_6.2,baseline,2050,R12_SAS,gas_imp,379.44678370371514,GWa,gas (GWa)
NP_SSP2_6.2,baseline,2055,R12_SAS,gas_imp,414.62187008924496,GWa,gas (GWa)
NP_SSP2_6.2,baseline,2060,R12_SAS,gas_imp,424.7934515988807,GWa,gas (GWa)
NP_SSP2_6.2,baseline,2070,R12_SAS,gas_imp,678.3510935078476,GWa,gas (GWa)
NP_SSP2_6.2,baseline,2080,R12_SAS,gas_imp,1055.6857954737427,GWa,gas (GWa)
NP_SSP2_6.2,baseline,2090,R12_SAS,gas_imp,1339.5469252942269,GWa,gas (GWa)
NP_SSP2_6.2,baseline,2100,R12_SAS,gas_imp,1362.159704557934,GWa,gas (GWa)
NP_SSP2_6.2,baseline,2110,R12_SAS,gas_imp,1337.5049967494185,GWa,gas (GWa)
NP_SSP2_6.2,baseline,1990,R12_WEU,gas_imp,99.05490000000002,GWa,gas (GWa)
NP_SSP2_6.2,baseline,1995,R12_WEU,gas_imp,122.66879999999999,GWa,gas (GWa)
NP_SSP2_6.2,baseline,2000,R12_WEU,gas_imp,148.837,GWa,gas (GWa)
NP_SSP2_6.2,baseline,2005,R12_WEU,gas_imp,187.878,GWa,gas (GWa)
NP_SSP2_6.2,baseline,2010,R12_WEU,gas_imp,173.808,GWa,gas (GWa)
NP_SSP2_6.2,baseline,2015,R12_WEU,gas_imp,199.54,GWa,gas (GWa)
NP_SSP2_6.2,baseline,2020,R12_WEU,gas_imp,196.0867170608004,GWa,gas (GWa)
NP_SSP2_6.2,baseline,2025,R12_WEU,gas_imp,168.40244946670526,GWa,gas (GWa)
NP_SSP2_6.2,baseline,2030,R12_WEU,gas_imp,173.42225716514582,GWa,gas (GWa)
NP_SSP2_6.2,baseline,2035,R12_WEU,gas_imp,171.6466492068398,GWa,gas (GWa)
NP_SSP2_6.2,baseline,2040,R12_WEU,gas_imp,143.86684592941901,GWa,gas (GWa)
NP_SSP2_6.2,baseline,2045,R12_WEU,gas_imp,102.2726604184339,GWa,gas (GWa)
NP_SSP2_6.2,baseline,2050,R12_WEU,gas_imp,70.08787255919492,GWa,gas (GWa)
NP_SSP2_6.2,baseline,2055,R12_WEU,gas_imp,45.18389723623437,GWa,gas (GWa)
NP_SSP2_6.2,baseline,2060,R12_WEU,gas_imp,25.913675863357103,GWa,gas (GWa)
NP_SSP2_6.2,baseline,2070,R12_WEU,gas_imp,0.0,GWa,gas (GWa)
NP_SSP2_6.2,baseline,2080,R12_WEU,gas_imp,0.0,GWa,gas (GWa)
NP_SSP2_6.2,baseline,2090,R12_WEU,gas_imp,0.0,GWa,gas (GWa)
NP_SSP2_6.2,baseline,2100,R12_WEU,gas_imp,0.0,GWa,gas (GWa)
NP_SSP2_6.2,baseline,2110,R12_WEU,gas_imp,0.0,GWa,gas (GWa)
NP_SSP2_6.2,pipelines_LNG,2030,R12_AFR,gas_piped_imp,0.0,GWa,gas (GWa)
NP_SSP2_6.2,pipelines_LNG,2035,R12_AFR,gas_piped_imp,0.0,GWa,gas (GWa)
NP_SSP2_6.2,pipelines_LNG,2040,R12_AFR,gas_piped_imp,0.0,GWa,gas (GWa)
NP_SSP2_6.2,pipelines_LNG,2045,R12_AFR,gas_piped_imp,0.0,GWa,gas (GWa)
NP_SSP2_6.2,pipelines_LNG,2050,R12_AFR,gas_piped_imp,0.0,GWa,gas (GWa)
NP_SSP2_6.2,pipelines_LNG,2055,R12_AFR,gas_piped_imp,0.0,GWa,gas (GWa)
NP_SSP2_6.2,pipelines_LNG,2060,R12_AFR,gas_piped_imp,0.0,GWa,gas (GWa)
NP_SSP2_6.2,pipelines_LNG,2070,R12_AFR,gas_piped_imp,0.0,GWa,gas (GWa)
NP_SSP2_6.2,pipelines_LNG,2080,R12_AFR,gas_piped_imp,0.0,GWa,gas (GWa)
NP_SSP2_6.2,pipelines_LNG,2090,R12_AFR,gas_piped_imp,0.0,GWa,gas (GWa)
NP_SSP2_6.2,pipelines_LNG,2100,R12_AFR,gas_piped_imp,0.0,GWa,gas (GWa)
NP_SSP2_6.2,pipelines_LNG,2110,R12_AFR,gas_piped_imp,0.0,GWa,gas (GWa)
NP_SSP2_6.2,pipelines_LNG,2030,R12_CHN,gas_piped_imp,91.47629407741196,GWa,gas (GWa)
