Model,Scenario,Region,Variable,Unit,2020,2025,2030,2035,2040,2045,2050,2055,2060,2070,2080,2090,2100
MESSAGEix-buildings,SSP2_BL,SAS,Final Energy|Buildings|Residential|Heating|Water,EJ/yr,0.49168,0.46373,0.43793,0.41187,0.38696,0.36418,0.3446,0.32559,0.31443,0.28508,0.26076,0.23928,0.22181
MESSAGEix-buildings,SSP2_BL,SAS,Final Energy|Buildings|Residential|Other,EJ/yr,0,0,0,0,0,0,0,0,0,0,0,0,0
MESSAGEix-buildings,SSP2_BL,WEU,Final Energy|Buildings|Residential|Heating|Space,EJ/yr,8.82407,7.91548,6.93421,6.09665,5.39733,4.7708,4.2517,3.81618,3.42681,2.78498,2.32914,1.99499,1.7381
MESSAGEix-buildings,SSP2_BL,WEU,Final Energy|Buildings|Residential|Cooling,EJ/yr,0.03406,0.03839,0.04309,0.04738,0.05089,0.05236,0.05378,0.05495,0.05578,0.05598,0.05466,0.05259,0.04976
MESSAGEix-buildings,SSP2_BL,WEU,Final Energy|Buildings|Residential|Heating|Water,EJ/yr,2.67989,2.64978,2.61962,2.59238,2.57044,2.55018,2.53179,2.51461,2.49371,2.44912,2.4058,2.35663,2.29354
MESSAGEix-buildings,SSP2_BL,WEU,Final Energy|Buildings|Residential|Other,EJ/yr,0,0,0,0,0,0,0,0,0,0,0,0,0
MESSAGEix-buildings,SSP2_BL,AFR,Stock Addition|Buildings|Residential|Informal Houses,m^2/yr,86706603,107821461,107585843,160712359,119405667,123491621,136401726,94164494,52472641,10683902,0,0,0
MESSAGEix-buildings,SSP2_BL,AFR,Stock Retirement|Buildings|Residential|Informal Houses,m^2/yr,13830742,19324475,25781862,30052272,37107703,42146047,47324219,52685237,56144995,62110339,58655358,46367689,20516120
MESSAGEix-buildings,SSP2_BL,AFR,Stock Addition|Buildings|Residential|Multi-Family Houses,m^2/yr,143346181,187047308,355455115,294902838,500834729,501226345,535710796,631037303,715963099,830212498,857897157,883537380,846054211
MESSAGEix-buildings,SSP2_BL,AFR,Stock Retirement|Buildings|Residential|Multi-Family Houses,m^2/yr,27423373,35613846,45406083,57671759,72059300,89717464,110751090,133689463,159263620,206236816,259667344,316111711,371432828
MESSAGEix-buildings,SSP2_BL,AFR,Stock Addition|Buildings|Residential|Single-Family Houses,m^2/yr,1997377768,2498921619,4029515554,3596032256,5383526965,5395749550,5666424016,6397423015,7031354855,7917625577,7930015686,7906462247,7366138187
MESSAGEix-buildings,SSP2_BL,AFR,Stock Retirement|Buildings|Residential|Single-Family Houses,m^2/yr,542282118,690158367,856814857,1047532058,1256747269,1491255573,1748893231,2014284104,2290829666,2794725584,3264452064,3706884445,4096674989
MESSAGEix-buildings,SSP2_BL,CHN,Stock Addition|Buildings|Residential|Informal Houses,m^2/yr,0,0,0,0,0,0,0,0,0,0,0,0,0
MESSAGEix-buildings,SSP2_BL,CHN,Stock Retirement|Buildings|Residential|Informal Houses,m^2/yr,59059115,64702292,62367477,53716879,41655649,29207208,18519241,10511789,5175015,0,0,0,0
MESSAGEix-buildings,SSP2_BL,CHN,Stock Addition|Buildings|Residential|Multi-Family Houses,m^2/yr,5557105271,5669618916,5641393464,5458190534,5143915951,4738991129,4257942652,3740480744,3230063030,2469007322,1049749532,367462772,166198690
MESSAGEix-buildings,SSP2_BL,CHN,Stock Retirement|Buildings|Residential|Multi-Family Houses,m^2/yr,3508382411,3787335111,3984300519,4098276984,4139113320,4117594412,4039211465,3904334313,3713516432,3501596988,2737003115,2036519323,1359942622
MESSAGEix-buildings,SSP2_BL,CHN,Stock Addition|Buildings|Residential|Single-Family Houses,m^2/yr,768482138,781603784,774830521,747041392,702007089,645669343,579929865,510140879,442088507,339577458,150344985,51270956,25622627
MESSAGEix-buildings,SSP2_BL,CHN,Stock Retirement|Buildings|Residential|Single-Family Houses,m^2/yr,1544317143,1506499292,1409619559,1270802397,1114015797,961803914,828246879,717428219,626969542,545818406,409946473,303451540,208477843
