scenario,R12,year,material,floor_tot_Mm2,floor_new_Mm2,floor_dem_Mm2,mat_stock_Mt,mat_demand_Mt,mat_scrap_Mt
SH2,PAO,2060,aluminum,2227.76782573663,12.373064833278,15.801687378298,4.418168469405194,0.02466245539402464,0.03134802626670825
SH2,PAO,2060,cement,2227.76782573663,12.373064833278,15.801687378298,321.43697396002307,1.8456562809098118,2.284700001339552
SH2,PAO,2060,concrete,2227.76782573663,12.373064833278,15.801687378298,2142.913159733487,12.304375206065412,15.231333342263682
SH2,PAO,2060,copper,2227.76782573663,12.373064833278,15.801687378298,0.1673284538250211,8.537146616085421e-4,0.0011809482577035183
SH2,PAO,2060,glass,2227.76782573663,12.373064833278,15.801687378298,13.314360138464775,0.07324887385465609,0.09438477330064274
SH2,PAO,2060,steel,2227.76782573663,12.373064833278,15.801687378298,221.4525871609501,1.3119529127480885,1.5771972096669762
SH2,PAO,2060,wood,2227.76782573663,12.373064833278,15.801687378298,121.16379046950652,0.7264509207715377,0.8636115342951155
SH2,PAO,2070,aluminum,2181.27230680264,10.706270747907,15.267809737899,4.327043222113339,0.021358131168495942,0.03029974051750554
SH2,PAO,2070,cement,2181.27230680264,10.706270747907,15.267809737899,315.2577226290923,1.605797107440418,2.212794975798384
SH2,PAO,2070,concrete,2181.27230680264,10.706270747907,15.267809737899,2101.7181508606154,10.705314049602789,14.751966505322562
SH2,PAO,2070,copper,2181.27230680264,10.706270747907,15.267809737899,0.16317310962354067,7.277235981792775e-4,0.0011344283366962243
SH2,PAO,2070,glass,2181.27230680264,10.706270747907,15.267809737899,13.030346445223495,0.06327982517134921,0.09113466275660997
SH2,PAO,2070,steel,2181.27230680264,10.706270747907,15.267809737899,217.54956902649465,1.147128982896246,1.5310877253204211
SH2,PAO,2070,wood,2181.27230680264,10.706270747907,15.267809737899,119.1040666122347,0.6363615860309393,0.839116958182583
SH2,PAO,2080,aluminum,2117.63880748193,8.283873449651999,14.010065674697,4.201782193471599,0.01652739185240042,0.02781617555639653
SH2,PAO,2080,cement,2117.63880748193,8.283873449651999,14.010065674697,306.5338840929735,1.243320464985473,2.0365978390566277
SH2,PAO,2080,concrete,2117.63880748193,8.283873449651999,14.010065674697,2043.5592272864899,8.288803099903154,13.577318927044184
SH2,PAO,2080,copper,2117.63880748193,8.283873449651999,14.010065674697,0.15782045549889204,5.620039613354033e-4,0.0010333480681273797
SH2,PAO,2080,glass,2117.63880748193,8.283873449651999,14.010065674697,12.64473835545732,0.04895230375083537,0.0835565689017917
SH2,PAO,2080,steel,2117.63880748193,8.283873449651999,14.010065674697,211.8454350171008,0.8887348063696192,1.4132283883844043
SH2,PAO,2080,wood,2117.63880748193,8.283873449651999,14.010065674697,116.04862168660168,0.49313215184799397,0.77538750254783
SH2,PAO,2090,aluminum,2056.0410345017,7.277705599728001,12.702644140143,4.080381968152993,0.014519957718350516,0.025232970791793607
SH2,PAO,2090,cement,2056.0410345017,7.277705599728001,12.702644140143,298.01772010832167,1.0923054734330013,1.8526877763148726
SH2,PAO,2090,concrete,2056.0410345017,7.277705599728001,12.702644140143,1986.7848007221444,7.282036489553343,12.35125184209915
SH2,PAO,2090,copper,2056.0410345017,7.277705599728001,12.702644140143,0.15272847780976026,4.937423780480139e-4,9.292192261791222e-4
SH2,PAO,2090,glass,2056.0410345017,7.277705599728001,12.702644140143,12.272293419472152,0.043006506230730365,0.07568788818952278
SH2,PAO,2090,steel,2056.0410345017,7.277705599728001,12.702644140143,206.22681378099745,0.7807881562050023,1.2896906085816047
SH2,PAO,2090,wood,2056.0410345017,7.277705599728001,12.702644140143,113.02765236656454,0.4332358098808028,0.7084732000725129
SH2,PAO,2100,aluminum,1976.2356859869399,5.151769252419999,11.426900250012,3.922665808002254,0.010278441563043214,0.022710273642546002
SH2,PAO,2100,cement,1976.2356859869399,5.151769252419999,11.426900250012,286.77392237225104,0.7732252528176633,1.672219054709379
SH2,PAO,2100,concrete,1976.2356859869399,5.151769252419999,11.426900250012,1911.8261491483404,5.154835018784422,11.14812703139586
SH2,PAO,2100,copper,1976.2356859869399,5.151769252419999,11.426900250012,0.14639481901920126,3.4951218718431764e-4,8.288840475881445e-4
SH2,PAO,2100,glass,1976.2356859869399,5.151769252419999,11.426900250012,11.792194172492929,0.030443605256822492,0.06802160844551462
SH2,PAO,2100,steel,1976.2356859869399,5.151769252419999,11.426900250012,198.66175700948185,0.552707218046986,1.1677682914918188
SH2,PAO,2100,wood,1976.2356859869399,5.151769252419999,11.426900250012,108.92734437938948,0.3066805731293409,0.6422812039499354
SH2,PAS,2020,aluminum,2179.23072995347,129.544523447576,19.630572446086,3.3066178770840704,0.19787773092634833,0.029765229834989405
SH2,PAS,2020,cement,2179.23072995347,129.544523447576,19.630572446086,327.9302631819598,19.423882236455267,2.955115311254153
SH2,PAS,2020,concrete,2179.23072995347,129.544523447576,19.630572446086,2186.2017545463987,129.49254824303512,19.700768741694354
SH2,PAS,2020,copper,2179.23072995347,129.544523447576,19.630572446086,0.35396915488239955,0.020445757451545282,0.0031980219677046175
SH2,PAS,2020,glass,2179.23072995347,129.544523447576,19.630572446086,8.550869899249205,0.5092336556235715,0.07701177469234091
SH2,PAS,2020,steel,2179.23072995347,129.544523447576,19.630572446086,204.36678572763853,12.219090433123071,1.8398231301511492
SH2,PAS,2020,wood,2179.23072995347,129.544523447576,19.630572446086,86.8447757279116,5.2759949605153516,0.7804989860741499
SH2,PAS,2025,aluminum,3094.02832588457,204.59267445071401,21.633155264494,4.706632739803623,0.31290780797793044,0.03290483543401999
SH2,PAS,2025,cement,3094.02832588457,204.59267445071401,21.633155264494,464.95275045547027,30.65558940679135,3.2510919520892543
SH2,PAS,2025,concrete,3094.02832588457,204.59267445071401,21.633155264494,3099.685003036469,204.3705960452757,21.673946347261694
SH2,PAS,2025,copper,3094.02832588457,204.59267445071401,21.633155264494,0.4971393013509642,0.03211156530286955,0.003477536009156626
SH2,PAS,2025,glass,3094.02832588457,204.59267445071401,21.633155264494,12.148779984315544,0.8045226809437123,0.08494066393044443
SH2,PAS,2025,steel,3094.02832588457,204.59267445071401,21.633155264494,290.79686858087786,19.319053497523964,2.0330369268761057
SH2,PAS,2025,wood,3094.02832588457,204.59267445071401,21.633155264494,124.3325365025901,8.36657175192838,0.869019596992678
SH2,PAS,2030,aluminum,4118.99422788286,232.2004238679,27.207243468241998,6.2808083295464,0.35632267867287665,0.04148756072432103
SH2,PAS,2030,cement,4118.99422788286,232.2004238679,27.207243468241998,618.1811955764797,34.7289231918349,4.083234167633017
SH2,PAS,2030,concrete,4118.99422788286,232.2004238679,27.207243468241998,4121.207970509865,231.5261546122327,27.221561117553446
SH2,PAS,2030,copper,4118.99422788286,232.2004238679,27.207243468241998,0.6550334949728803,0.03590515004824657,0.0043263113238633496
SH2,PAS,2030,glass,4118.99422788286,232.2004238679,27.207243468241998,16.18389801611654,0.9139239135069278,0.10690030714672898
SH2,PAS,2030,steel,4118.99422788286,232.2004238679,27.207243468241998,387.93346887273844,21.989787866674646,2.562467808302518
SH2,PAS,2030,wood,4118.99422788286,232.2004238679,27.207243468241998,166.81443387206036,9.598315098023837,1.1019356241297882
SH2,PAS,2035,aluminum,5048.11807211893,222.630420376292,36.805651529078,7.7147405765427735,0.3430163424346782,0.05622989303540373
SH2,PAS,2035,cement,5048.11807211893,222.630420376292,36.805651529078,756.7118550062987,33.224249069240706,5.518117183276902
SH2,PAS,2035,concrete,5048.11807211893,222.630420376292,36.805651529078,5044.745700041992,221.49499379493807,36.78744788851268
SH2,PAS,2035,copper,5048.11807211893,222.630420376292,36.805651529078,0.7950132541226475,0.03380052380184284,0.005804571971889424
SH2,PAS,2035,glass,5048.11807211893,222.630420376292,36.805651529078,19.846599797530384,0.8772285338745539,0.14468817759178493
SH2,PAS,2035,steel,5048.11807211893,222.630420376292,36.805651529078,476.3596710747308,21.157397082185742,3.472156641787287
SH2,PAS,2035,wood,5048.11807211893,222.630420376292,36.805651529078,205.9238952162562,9.321722415206185,1.4998301463670158
SH2,PAS,2040,aluminum,5580.32631813006,155.65877894904,49.217129746814,8.545739882579932,0.24151391196125674,0.07531405075382501
SH2,PAS,2040,cement,5580.32631813006,155.65877894904,49.217129746814,835.5508796202442,23.140209173540285,7.372404250751174
SH2,PAS,2040,concrete,5580.32631813006,155.65877894904,49.217129746814,5570.339197468295,154.26806115693523,49.1493616716745
SH2,PAS,2040,copper,5580.32631813006,155.65877894904,49.217129746814,0.8708306308045358,0.02286995243125572,0.007706477094878031
SH2,PAS,2040,glass,5580.32631813006,155.65877894904,49.217129746814,21.951404457978093,0.6145266509639254,0.19356571887438337
SH2,PAS,2040,steel,5580.32631813006,155.65877894904,49.217129746814,527.5269631760822,14.88304797556983,4.6495895552995545
SH2,PAS,2040,wood,5580.32631813006,155.65877894904,49.217129746814,229.15716511980148,6.662820471468564,2.0161664907595096
SH2,PAS,2045,aluminum,5789.34319519277,103.869136580052,61.77239585796,8.88283792029844,0.16252068592820557,0.09467878278264334
SH2,PAS,2045,cement,5789.34319519277,103.869136580052,61.77239585796,865.9428933574809,15.36877308948488,9.245010446105976
SH2,PAS,2045,concrete,5789.34319519277,103.869136580052,61.77239585796,5772.952622383207,102.45848726323256,61.633402974039846
SH2,PAS,2045,copper,5789.34319519277,103.869136580052,61.77239585796,0.89574365909821,0.01464407201280778,0.009603470288940867
SH2,PAS,2045,glass,5789.34319519277,103.869136580052,61.77239585796,22.785596302326645,0.41102479648569373,0.24305140475551454
SH2,PAS,2045,steel,5789.34319519277,103.869136580052,61.77239585796,548.197382112509,10.004222060460084,5.843850334338542
SH2,PAS,2045,wood,5789.34319519277,103.869136580052,61.77239585796,239.20786662169164,4.563477419365869,2.543616421843539
SH2,PAS,2050,aluminum,5775.27268742239,69.80978170530601,71.741255574276,8.876967977087574,0.11024150495385793,0.11014496235949044
SH2,PAS,2050,cement,5775.27268742239,69.80978170530601,71.741255574276,863.0024536718616,10.275421391801995,10.72703818309018
SH2,PAS,2050,concrete,5775.27268742239,69.80978170530601,71.741255574276,5753.349691145745,68.50280927867998,71.51358788726787
SH2,PAS,2050,copper,5775.27268742239,69.80978170530601,71.741255574276,0.8864459380843217,0.009383575442962885,0.011068630941567221
SH2,PAS,2050,glass,5775.27268742239,69.80978170530601,71.741255574276,22.741288984641844,0.2769601765109555,0.2824067761656968
SH2,PAS,2050,steel,5775.27268742239,69.80978170530601,71.741255574276,547.7072934955742,6.778019671831297,6.796946712557849
SH2,PAS,2050,wood,5775.27268742239,69.80978170530601,71.741255574276,239.982626576969,3.1544264469948042,2.9702284744316407
SH2,PAS,2055,aluminum,5953.8495023368,113.63229869701,77.665219806186,9.166443853891698,0.17771618891283897,0.11945867172978139
SH2,PAS,2055,cement,5953.8495023368,113.63229869701,77.665219806186,888.8901276932878,16.81764423228389,11.601189327302084
SH2,PAS,2055,concrete,5953.8495023368,113.63229869701,77.665219806186,5925.934184621919,112.11762821522593,77.34126218201389
SH2,PAS,2055,copper,5953.8495023368,113.63229869701,77.665219806186,0.9070644411102659,0.01605705151015197,0.011883588606161767
SH2,PAS,2055,glass,5953.8495023368,113.63229869701,77.665219806186,23.455029740696826,0.4496022345584075,0.3058802009538309
SH2,PAS,2055,steel,5953.8495023368,113.63229869701,77.665219806186,565.4462025561135,10.940248434086833,7.369910811265636
SH2,PAS,2055,wood,5953.8495023368,113.63229869701,77.665219806186,248.69650183070078,4.985466936912687,3.234351247284174
SH2,PAS,2060,aluminum,6006.7038860391,91.333921739804,80.391771440412,9.261808178065374,0.14349785343367194,0.12389054507095253
SH2,PAS,2060,cement,6006.7038860391,91.333921739804,80.391771440412,896.0371803047476,13.482621936480871,11.995805410659978
SH2,PAS,2060,concrete,6006.7038860391,91.333921739804,80.391771440412,5973.581202031651,89.88414624320582,79.97203607106653
SH2,PAS,2060,copper,6006.7038860391,91.333921739804,80.391771440412,0.9087790417396455,0.01260923816910503,0.01219292011646447
SH2,PAS,2060,glass,6006.7038860391,91.333921739804,80.391771440412,23.67310195799832,0.36183716411360045,0.316786272773619
SH2,PAS,2060,steel,6006.7038860391,91.333921739804,80.391771440412,571.2155109913369,8.8285311534710509,7.641400309198232
SH2,PAS,2060,wood,6006.7038860391,91.333921739804,80.391771440412,252.11128518324142,4.0636985539749,3.368439686490582
SH2,PAS,2070,aluminum,5857.13054146195,68.96862515875799,82.917860878888,9.055439671730563,0.10896527229521548,0.1281509777207769
SH2,PAS,2070,cement,5857.13054146195,68.96862515875799,82.917860878888,872.4348822722025,10.148839960742341,12.353198390194205
SH2,PAS,2070,concrete,5857.13054146195,68.96862515875799,82.917860878888,5816.23254848135,67.65893307161562,82.35465593462803
SH2,PAS,2070,copper,5857.13054146195,68.96862515875799,82.917860878888,0.8751595574885251,0.009246910687069931,0.012409565746056898
SH2,PAS,2070,glass,5857.13054146195,68.96862515875799,82.917860878888,23.10070337660104,0.2736597022490249,0.3269992522216967
SH2,PAS,2070,steel,5857.13054146195,68.96862515875799,82.917860878888,558.291557410392,6.699140951925261,7.901202391550944
SH2,PAS,2070,wood,5857.13054146195,68.96862515875799,82.917860878888,247.92647199564854,3.120912460951009,3.5059902987920797
SH2,PAS,2080,aluminum,5526.3574353167,46.713857923027,74.46771921394401,8.563525186103682,0.07402827150653231,0.11555668301983031
SH2,PAS,2080,cement,5526.3574353167,46.713857923027,74.46771921394401,822.1296177292727,6.862112635901787,11.069531860215145
SH2,PAS,2080,concrete,5526.3574353167,46.713857923027,74.46771921394401,5480.864118195152,45.74741757267858,73.79687906810096
SH2,PAS,2080,copper,5526.3574353167,46.713857923027,74.46771921394401,0.8169124155333924,0.00616170972679936,0.010934018939007518
SH2,PAS,2080,glass,5526.3574353167,46.713857923027,74.46771921394401,21.809843085342802,0.18551297683118576,0.294002717022534
SH2,PAS,2080,steel,5526.3574353167,46.713857923027,74.46771921394401,527.8065389277292,4.549460243052539,7.120937352329795
SH2,PAS,2080,wood,5526.3574353167,46.713857923027,74.46771921394401,235.6056594506903,2.133171561122805,3.1888596397614384
SH2,PAS,2090,aluminum,5105.15040295286,30.777529583924,63.296437496772,7.926239605454127,0.04877369195439421,0.09868058875573756
