,2030,2035,2040,2045,2050,2055,2060,2070,2080,2090,2100,2110,Model,Region,Scenario,Unit,Variable
85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,weu_security,CHN,SSP2_MEACON,US$2010/GJ,Price|Secondary Energy|Liquids
86,24.64042487550355,9.26504731379669,11.26465822881173,10.38392386722714,10.80529250664662,13.97513971792322,12.89167042866179,11.28586419159372,12.66897366382211,12.90457483564186,12.8298179166436,13.95589838196718,weu_security,CHN,SSP2_MEACON,US$2010/GJ,Price|Secondary Energy|Liquids|Biomass
87,24.30932788143804,7.21294312044792,7.741941848499265,6.573621502947337,7.236122517672767,6.655514863430442,7.505795154401457,6.478023290570343,6.846876287726027,7.404733342434275,7.669402531094961,8.548475824442281,weu_security,CHN,SSP2_MEACON,US$2010/GJ,Price|Secondary Energy|Liquids|Oil
88,0.0,0.0,2.5527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,weu_security,EEU,SSP2_MEACON,US$2010/GJ,Price|Agriculture|Energy Crops
89,0.875,0.8341,0.7932,0.7784,0.7636,0.7517,0.7398,0.7235,0.7113,0.7012,0.6904,0.6904,weu_security,EEU,SSP2_MEACON,Index (2020 = 1),Price|Agriculture|Food Products [Index]
90,1.1014,1.0482,0.995,0.9775,0.9601,0.9477,0.9354,0.9193,0.907,0.9018,0.8973,0.8973,weu_security,EEU,SSP2_MEACON,Index (2020 = 1),Price|Agriculture|Food Products|Crops [Index]
91,1.0282,0.9903,0.9524,0.9388,0.9253,0.9097,0.8942,0.8758,0.8614,0.8521,0.8463,0.8463,weu_security,EEU,SSP2_MEACON,Index (2020 = 1),Price|Agriculture|Food Products|Crops|Maize [Index]
92,0.9315,0.9168,0.9021,0.9042,0.9062,0.9006,0.8949,0.885,0.8697,0.8567,0.8497,0.8497,weu_security,EEU,SSP2_MEACON,Index (2020 = 1),Price|Agriculture|Food Products|Crops|Rice [Index]
93,0.9188,0.8978,0.8769,0.8705,0.8641,0.8558,0.8475,0.8373,0.83,0.823,0.8165,0.8165,weu_security,EEU,SSP2_MEACON,Index (2020 = 1),Price|Agriculture|Food Products|Crops|Soybean [Index]
94,1.2517,1.1591,1.0664,1.0386,1.0108,0.9961,0.9814,0.9472,0.9309,0.924,0.9154,0.9154,weu_security,EEU,SSP2_MEACON,Index (2020 = 1),Price|Agriculture|Food Products|Crops|Wheat [Index]
95,0.7449,0.7114,0.678,0.665,0.6521,0.6412,0.6303,0.615,0.6034,0.5924,0.581,0.581,weu_security,EEU,SSP2_MEACON,Index (2020 = 1),Price|Agriculture|Food Products|Livestock [Index]
96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,weu_security,EEU,SSP2_MEACON,US$2010/t CO2,Price|Carbon
97,15.75194537537099,15.59605026504387,16.5454033321542,16.30896626687488,17.50715921338312,17.19375862799097,19.83319722488334,16.58343062687657,17.55729081220434,17.22620838215475,16.85394498344397,16.86226760100556,weu_security,EEU,SSP2_MEACON,US$2010/GJ,Price|Final Energy wo carbon price|Residential|Electricity
98,5.290932020763639,4.099587975668046,4.668564258531073,4.061688588199136,4.443745334270868,4.186312022561485,4.657314424234291,4.328543574413771,4.654591874768666,5.13774276710825,5.025260065020103,5.069088684135439,weu_security,EEU,SSP2_MEACON,US$2010/GJ,Price|Final Energy wo carbon price|Residential|Gases|Natural Gas
99,22.83546320883212,9.459549507410006,11.68456141477069,11.03957404761372,12.08472732017738,14.21561959763963,13.50281598957564,10.37006999013168,12.23442441828046,12.45897018429087,13.00671565677327,13.57995926389228,weu_security,EEU,SSP2_MEACON,US$2010/GJ,Price|Final Energy wo carbon price|Residential|Liquids|Biomass
100,22.91674980578727,6.84855349938997,7.453548747968267,6.573124706244083,6.736116679978909,6.162659339684979,7.046263483421909,5.974405990344066,6.281590920938431,6.9518378708855,7.256555556169234,8.153327315508534,weu_security,EEU,SSP2_MEACON,US$2010/GJ,Price|Final Energy wo carbon price|Residential|Liquids|Oil
101,3.820339997855164,1.846707125293994,2.605523330210559,2.045584162868904,1.46028899860734,1.824243382976461,2.629411540643578,2.415938939434091,2.478114871383023,2.859159892832106,3.027233779506437,3.328311680003908,weu_security,EEU,SSP2_MEACON,US$2010/GJ,Price|Final Energy wo carbon price|Residential|Solids|Biomass
102,2.670733290058263,2.648915146360666,2.881881887462201,2.756423008880932,3.015453195744208,2.508235300200001,3.004628450148634,2.736646385464584,3.081166969302863,3.541441440099636,3.489598336710116,3.390333174905644,weu_security,EEU,SSP2_MEACON,US$2010/GJ,Price|Final Energy wo carbon price|Residential|Solids|Coal
103,15.75194537537099,15.59605026504387,16.5454033321542,16.30896626687488,17.50715921338312,17.19375862799097,19.83319722488334,16.58343062687657,17.55729081220434,17.22620838215475,16.85394498344397,16.86226760100556,weu_security,EEU,SSP2_MEACON,US$2010/GJ,Price|Final Energy|Residential|Electricity
