technology,parameter,region,mode,commodity,level,units,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2070,2080,2090,2100,2110
eaf_steel,level_cost_activity_soft_up,R12_PAO,,,,,,,,,,,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
eaf_steel,level_cost_activity_soft_up,R12_PAS,,,,,,,,,,,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
eaf_steel,level_cost_activity_soft_up,R12_SAS,,,,,,,,,,,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
eaf_steel,level_cost_activity_soft_up,R12_WEU,,,,,,,,,,,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
eaf_steel,level_cost_activity_soft_up,R12_RCPA,,,,,,,,,,,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
eaf_steel,level_cost_activity_soft_up,R12_CHN,,,,,,,,,,,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
other_EOL_steel,output,R12_CHN,M1,steel,end_of_life,,,,,,,,0.43,0.4522,0.4744,0.4967,0.5189,0.5411,0.5633,0.5856,0.6078,0.6522,0.6967,0.7411,0.7856,0.83
other_EOL_steel,output,R12_AFR,M1,steel,end_of_life,,,,,,,,0.43,0.4522,0.4744,0.4967,0.5189,0.5411,0.5633,0.5856,0.6078,0.6522,0.6967,0.7411,0.7856,0.83
other_EOL_steel,output,R12_EEU,M1,steel,end_of_life,,,,,,,,0.63,0.6411,0.6522,0.6633,0.6744,0.6856,0.6967,0.7078,0.7189,0.7411,0.7633,0.7856,0.8078,0.83
other_EOL_steel,output,R12_FSU,M1,steel,end_of_life,,,,,,,,0.43,0.4522,0.4744,0.4967,0.5189,0.5411,0.5633,0.5856,0.6078,0.6522,0.6967,0.7411,0.7856,0.83
other_EOL_steel,output,R12_LAM,M1,steel,end_of_life,,,,,,,,0.43,0.4522,0.4744,0.4967,0.5189,0.5411,0.5633,0.5856,0.6078,0.6522,0.6967,0.7411,0.7856,0.83
other_EOL_steel,output,R12_MEA,M1,steel,end_of_life,,,,,,,,0.43,0.4522,0.4744,0.4967,0.5189,0.5411,0.5633,0.5856,0.6078,0.6522,0.6967,0.7411,0.7856,0.83
other_EOL_steel,output,R12_NAM,M1,steel,end_of_life,,,,,,,,0.63,0.6411,0.6522,0.6633,0.6744,0.6856,0.6967,0.7078,0.7189,0.7411,0.7633,0.7856,0.8078,0.83
other_EOL_steel,output,R12_PAO,M1,steel,end_of_life,,,,,,,,0.53,0.5467,0.5633,0.58,0.5967,0.6133,0.63,0.6467,0.6633,0.6967,0.73,0.7633,0.7967,0.83
other_EOL_steel,output,R12_PAS,M1,steel,end_of_life,,,,,,,,0.43,0.4522,0.4744,0.4967,0.5189,0.5411,0.5633,0.5856,0.6078,0.6522,0.6967,0.7411,0.7856,0.83
other_EOL_steel,output,R12_SAS,M1,steel,end_of_life,,,,,,,,0.43,0.4522,0.4744,0.4967,0.5189,0.5411,0.5633,0.5856,0.6078,0.6522,0.6967,0.7411,0.7856,0.83
other_EOL_steel,output,R12_WEU,M1,steel,end_of_life,,,,,,,,0.63,0.6411,0.6522,0.6633,0.6744,0.6856,0.6967,0.7078,0.7189,0.7411,0.7633,0.7856,0.8078,0.83
other_EOL_steel,output,R12_RCPA,M1,steel,end_of_life,,,,,,,,0.43,0.4522,0.4744,0.4967,0.5189,0.5411,0.5633,0.5856,0.6078,0.6522,0.6967,0.7411,0.7856,0.83
bof_steel,soft_activity_lo,R12_AFR,,,,,,,,,,,,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08
bof_steel,soft_activity_lo,R12_EEU,,,,,,,,,,,,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08
bof_steel,soft_activity_lo,R12_FSU,,,,,,,,,,,,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08
bof_steel,soft_activity_lo,R12_LAM,,,,,,,,,,,,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08
bof_steel,soft_activity_lo,R12_MEA,,,,,,,,,,,,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08
bof_steel,soft_activity_lo,R12_NAM,,,,,,,,,,,,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08
bof_steel,soft_activity_lo,R12_PAO,,,,,,,,,,,,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08
bof_steel,soft_activity_lo,R12_PAS,,,,,,,,,,,,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08
bof_steel,soft_activity_lo,R12_SAS,,,,,,,,,,,,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08
