# Fixed operation & maintenance cost of LDVs
#
# Source: Duplicated from corresponding R11 file.
#
# Unit: USD_2010 / vehicle
#
scenario,    node,     technology, year, value
*,           R12_EEU,  ICE_conv,   2010, 24596.17641
*,           R12_EEU,  ICE_conv,   2015, 21014.75829
*,           R12_EEU,  ICE_conv,   2025, 21373.9761
*,           R12_EEU,  ICE_conv,   2035, 21337.3673
*,           R12_EEU,  ICE_conv,   2045, 22392.89534
*,           R12_EEU,  ICE_L_ptrp, 2010, 23042.74521
*,           R12_EEU,  ICE_nga,    2010, 26506.80005
*,           R12_EEU,  ICE_nga,    2015, 25805.23578
*,           R12_EEU,  ICE_nga,    2025, 25550.59498
*,           R12_EEU,  ICE_nga,    2035, 23359.10414
*,           R12_EEU,  ICE_nga,    2045, 25045.58118
*,           R12_EEU,  ICH_chyb,   2010, 31079.40533
*,           R12_EEU,  ICH_chyb,   2015, 26197.9072
*,           R12_EEU,  ICH_chyb,   2020, 26197.9072
*,           R12_EEU,  ICH_chyb,   2025, 24365.67564
*,           R12_EEU,  ICH_chyb,   2030, 24365.67564
*,           R12_EEU,  ICH_chyb,   2035, 24714.90539
*,           R12_EEU,  ICH_chyb,   2040, 24714.90539
*,           R12_EEU,  ICH_chyb,   2045, 23954.06518
*,           R12_EEU,  ICH_chyb,   2050, 23954.06518
*,           R12_EEU,  IGH_ghyb,   2010, 33493.64425
*,           R12_EEU,  IGH_ghyb,   2015, 29932.8755
*,           R12_EEU,  IGH_ghyb,   2025, 27062.23907
*,           R12_EEU,  IGH_ghyb,   2035, 23722.93307
*,           R12_EEU,  IGH_ghyb,   2045, 24798.84702
*,           R12_EEU,  PHEV_ptrp,  2010, 38101.13292
*,           R12_EEU,  PHEV_ptrp,  2015, 34460.55372
*,           R12_EEU,  PHEV_ptrp,  2020, 34056.0
*,           R12_EEU,  PHEV_ptrp,  2025, 33651
*,           R12_EEU,  PHEV_ptrp,  2030, 32697
*,           R12_EEU,  PHEV_ptrp,  2035, 31751
*,           R12_EEU,  PHEV_ptrp,  2040, 31749
*,           R12_EEU,  PHEV_ptrp,  2045, 31127
*,           R12_EEU,  PHEV_ptrp,  2050, 30336
*,           R12_EEU,  PHEV_ptrp,  2055, 28992
*,           R12_EEU,  PHEV_ptrp,  2060, 28215
*,           R12_FSU,  ELC_100,    2010, 40851.46867
*,           R12_FSU,  ELC_100,    2015, 40810.61284
*,           R12_FSU,  ELC_100,    2020, 35701.4
*,           R12_FSU,  ELC_100,    2025, 30592
*,           R12_FSU,  ELC_100,    2030, 30314
*,           R12_FSU,  ELC_100,    2035, 30037
*,           R12_FSU,  ELC_100,    2040, 30494
*,           R12_FSU,  ELC_100,    2045, 30940
*,           R12_FSU,  ELC_100,    2050, 30675
*,           R12_FSU,  ELC_100,    2055, 30410
*,           R12_FSU,  ELC_100,    2060, 30146
*,           R12_FSU,  HFC_ptrp,   2010, 79589.40015
*,           R12_FSU,  HFC_ptrp,   2015, 36901.80419
*,           R12_FSU,  HFC_ptrp,   2025, 30920.89746
*,           R12_FSU,  HFC_ptrp,   2035, 28820.69243
*,           R12_FSU,  HFC_ptrp,   2045, 28301.26344
*,           R12_FSU,  IAHe_ptrp,  2010, 32642.04676
*,           R12_FSU,  IAHe_ptrp,  2015, 26994.11224
*,           R12_FSU,  IAHe_ptrp,  2025, 25161.88069
*,           R12_FSU,  IAHe_ptrp,  2035, 25511.11043
*,           R12_FSU,  IAHe_ptrp,  2045, 24750.27022
*,           R12_FSU,  IAHm_ptrp,  2010, 32642.04676
*,           R12_FSU,  IAHm_ptrp,  2015, 26994.11224
*,           R12_FSU,  IAHm_ptrp,  2020, 26994.11224
*,           R12_FSU,  IAHm_ptrp,  2025, 25161.88069
*,           R12_FSU,  IAHm_ptrp,  2030, 25161.88069
*,           R12_FSU,  IAHm_ptrp,  2035, 25511.11043
*,           R12_FSU,  IAHm_ptrp,  2040, 25511.11043
*,           R12_FSU,  IAHm_ptrp,  2045, 24750.27022
*,           R12_FSU,  IAHm_ptrp,  2050, 24750.27022
*,           R12_FSU,  ICAe_ffv,   2010, 24932.29869
*,           R12_FSU,  ICAe_ffv,   2015, 21810.96333
*,           R12_FSU,  ICAe_ffv,   2020, 21810.96333
*,           R12_FSU,  ICAe_ffv,   2025, 22170.18114
*,           R12_FSU,  ICAe_ffv,   2030, 22170.18114
*,           R12_FSU,  ICAe_ffv,   2035, 22133.57234
*,           R12_FSU,  ICAe_ffv,   2040, 22133.57234
*,           R12_FSU,  ICAe_ffv,   2045, 23189.10039
*,           R12_FSU,  ICAe_ffv,   2050, 23189.10039
*,           R12_FSU,  ICAm_ptrp,  2010, 24932.29869
*,           R12_FSU,  ICAm_ptrp,  2015, 21810.96333
*,           R12_FSU,  ICAm_ptrp,  2020, 21810.96333
*,           R12_FSU,  ICAm_ptrp,  2025, 22170.18114
*,           R12_FSU,  ICAm_ptrp,  2030, 22170.18114
*,           R12_FSU,  ICAm_ptrp,  2035, 22133.57234
*,           R12_FSU,  ICAm_ptrp,  2040, 22133.57234
*,           R12_FSU,  ICAm_ptrp,  2045, 23189.10039
*,           R12_FSU,  ICAm_ptrp,  2050, 23189.10039
*,           R12_FSU,  ICE_conv,   2010, 24932.29869
*,           R12_FSU,  ICE_conv,   2015, 21810.96333
*,           R12_FSU,  ICE_conv,   2025, 22170.18114
*,           R12_FSU,  ICE_conv,   2035, 22133.57234
*,           R12_FSU,  ICE_conv,   2045, 23189.10039
*,           R12_FSU,  ICE_L_ptrp, 2010, 24932.29869
*,           R12_FSU,  ICE_nga,    2010, 28726.9355
*,           R12_FSU,  ICE_nga,    2015, 26601.44082
*,           R12_FSU,  ICE_nga,    2025, 26346.80003
*,           R12_FSU,  ICE_nga,    2035, 24155.30919
*,           R12_FSU,  ICE_nga,    2045, 25841.78622
*,           R12_FSU,  ICH_chyb,   2010, 32642.04676
*,           R12_FSU,  ICH_chyb,   2015, 26994.11224
*,           R12_FSU,  ICH_chyb,   2020, 26994.11224
*,           R12_FSU,  ICH_chyb,   2025, 25161.88069
*,           R12_FSU,  ICH_chyb,   2030, 25161.88069
*,           R12_FSU,  ICH_chyb,   2035, 25511.11043
*,           R12_FSU,  ICH_chyb,   2040, 25511.11043
*,           R12_FSU,  ICH_chyb,   2045, 24750.27022
*,           R12_FSU,  ICH_chyb,   2050, 24750.27022
*,           R12_FSU,  IGH_ghyb,   2010, 37610.08896
*,           R12_FSU,  IGH_ghyb,   2015, 30729.08055
*,           R12_FSU,  IGH_ghyb,   2025, 27858.44411
*,           R12_FSU,  IGH_ghyb,   2035, 24519.13811
*,           R12_FSU,  IGH_ghyb,   2045, 25595.05206
*,           R12_FSU,  PHEV_ptrp,  2010, 46465.22826
*,           R12_FSU,  PHEV_ptrp,  2015, 35256.75876
*,           R12_FSU,  PHEV_ptrp,  2020, 34454.1
*,           R12_FSU,  PHEV_ptrp,  2025, 33651
*,           R12_FSU,  PHEV_ptrp,  2030, 33194
*,           R12_FSU,  PHEV_ptrp,  2035, 32740
*,           R12_FSU,  PHEV_ptrp,  2040, 33239
*,           R12_FSU,  PHEV_ptrp,  2045, 33105
*,           R12_FSU,  PHEV_ptrp,  2050, 32822
*,           R12_FSU,  PHEV_ptrp,  2055, 31931
*,           R12_FSU,  PHEV_ptrp,  2060, 31653
*,           R12_LAM,  ELC_100,    2010, 34699.74266
*,           R12_LAM,  ELC_100,    2015, 40810.61284
*,           R12_LAM,  ELC_100,    2020, 35701.4
*,           R12_LAM,  ELC_100,    2025, 30592
*,           R12_LAM,  ELC_100,    2030, 30314
*,           R12_LAM,  ELC_100,    2035, 30037
*,           R12_LAM,  ELC_100,    2040, 30494
*,           R12_LAM,  ELC_100,    2045, 30940
*,           R12_LAM,  ELC_100,    2050, 30675
*,           R12_LAM,  ELC_100,    2055, 30410
*,           R12_LAM,  ELC_100,    2060, 30146
*,           R12_LAM,  HFC_ptrp,   2010, 70406.16275
*,           R12_LAM,  HFC_ptrp,   2015, 36190.90683
*,           R12_LAM,  HFC_ptrp,   2025, 30210.0001
*,           R12_LAM,  HFC_ptrp,   2035, 28109.79507
*,           R12_LAM,  HFC_ptrp,   2045, 27590.36608
*,           R12_LAM,  IAHe_ptrp,  2010, 28119.41368
*,           R12_LAM,  IAHe_ptrp,  2015, 26283.21488
*,           R12_LAM,  IAHe_ptrp,  2025, 24450.98333
*,           R12_LAM,  IAHe_ptrp,  2035, 24800.21307
*,           R12_LAM,  IAHe_ptrp,  2045, 24039.37286
*,           R12_LAM,  IAHm_ptrp,  2010, 28119.41368
*,           R12_LAM,  IAHm_ptrp,  2015, 26283.21488
*,           R12_LAM,  IAHm_ptrp,  2020, 26283.21488
*,           R12_LAM,  IAHm_ptrp,  2025, 24450.98333
*,           R12_LAM,  IAHm_ptrp,  2030, 24450.98333
*,           R12_LAM,  IAHm_ptrp,  2035, 24800.21307
*,           R12_LAM,  IAHm_ptrp,  2040, 24800.21307
*,           R12_LAM,  IAHm_ptrp,  2045, 24039.37286
*,           R12_LAM,  IAHm_ptrp,  2050, 24039.37286
*,           R12_LAM,  ICAe_ffv,   2010, 21185.21207
*,           R12_LAM,  ICAe_ffv,   2015, 21100.06597
*,           R12_LAM,  ICAe_ffv,   2020, 21100.06597
*,           R12_LAM,  ICAe_ffv,   2025, 21459.28378
*,           R12_LAM,  ICAe_ffv,   2030, 21459.28378
*,           R12_LAM,  ICAe_ffv,   2035, 21422.67498
*,           R12_LAM,  ICAe_ffv,   2040, 21422.67498
*,           R12_LAM,  ICAe_ffv,   2045, 22478.20303
*,           R12_LAM,  ICAe_ffv,   2050, 22478.20303
*,           R12_LAM,  ICAm_ptrp,  2010, 21185.21207
*,           R12_LAM,  ICAm_ptrp,  2015, 21100.06597
*,           R12_LAM,  ICAm_ptrp,  2020, 21100.06597
*,           R12_LAM,  ICAm_ptrp,  2025, 21459.28378
*,           R12_LAM,  ICAm_ptrp,  2030, 21459.28378
*,           R12_LAM,  ICAm_ptrp,  2035, 21422.67498
*,           R12_LAM,  ICAm_ptrp,  2040, 21422.67498
*,           R12_LAM,  ICAm_ptrp,  2045, 22478.20303
*,           R12_LAM,  ICAm_ptrp,  2050, 22478.20303
*,           R12_LAM,  ICE_conv,   2010, 21185.21207
*,           R12_LAM,  ICE_conv,   2015, 21100.06597
*,           R12_LAM,  ICE_conv,   2025, 21459.28378
*,           R12_LAM,  ICE_conv,   2035, 21422.67498
*,           R12_LAM,  ICE_conv,   2045, 22478.20303
*,           R12_LAM,  ICE_L_ptrp, 2010, 21185.21207
*,           R12_LAM,  ICE_nga,    2010, 24408.7144
*,           R12_LAM,  ICE_nga,    2015, 25890.54346
*,           R12_LAM,  ICE_nga,    2025, 25635.90267
*,           R12_LAM,  ICE_nga,    2035, 23444.41183
*,           R12_LAM,  ICE_nga,    2045, 25130.88886
*,           R12_LAM,  ICH_chyb,   2010, 28119.41368
*,           R12_LAM,  ICH_chyb,   2015, 26283.21488
*,           R12_LAM,  ICH_chyb,   2020, 26283.21488
*,           R12_LAM,  ICH_chyb,   2025, 24450.98333
*,           R12_LAM,  ICH_chyb,   2030, 24450.98333
*,           R12_LAM,  ICH_chyb,   2035, 24800.21307
*,           R12_LAM,  ICH_chyb,   2040, 24800.21307
*,           R12_LAM,  ICH_chyb,   2045, 24039.37286
*,           R12_LAM,  ICH_chyb,   2050, 24039.37286
*,           R12_LAM,  IGH_ghyb,   2010, 32398.01118
*,           R12_LAM,  IGH_ghyb,   2015, 30018.18319
*,           R12_LAM,  IGH_ghyb,   2025, 27147.54675
*,           R12_LAM,  IGH_ghyb,   2035, 23808.24075
*,           R12_LAM,  IGH_ghyb,   2045, 24884.1547
*,           R12_LAM,  PHEV_ptrp,  2010, 35671.96354
*,           R12_LAM,  PHEV_ptrp,  2015, 34545.8614
*,           R12_LAM,  PHEV_ptrp,  2020, 34098.6
*,           R12_LAM,  PHEV_ptrp,  2025, 33651
*,           R12_LAM,  PHEV_ptrp,  2030, 33049
*,           R12_LAM,  PHEV_ptrp,  2035, 32451
*,           R12_LAM,  PHEV_ptrp,  2040, 32821
*,           R12_LAM,  PHEV_ptrp,  2045, 32562
*,           R12_LAM,  PHEV_ptrp,  2050, 32130
*,           R12_LAM,  PHEV_ptrp,  2055, 31106
*,           R12_LAM,  PHEV_ptrp,  2060, 30683
*,           R12_MEA,  ELC_100,    2010, 37592.95347
*,           R12_MEA,  ELC_100,    2015, 40810.61284
*,           R12_MEA,  ELC_100,    2020, 35701.4
*,           R12_MEA,  ELC_100,    2025, 30592
*,           R12_MEA,  ELC_100,    2030, 30367
*,           R12_MEA,  ELC_100,    2035, 30143
*,           R12_MEA,  ELC_100,    2040, 30648
*,           R12_MEA,  ELC_100,    2045, 31143
*,           R12_MEA,  ELC_100,    2050, 30934
*,           R12_MEA,  ELC_100,    2055, 30725
*,           R12_MEA,  ELC_100,    2060, 30515
*,           R12_MEA,  HFC_ptrp,   2010, 71540.63392
*,           R12_MEA,  HFC_ptrp,   2015, 37186.16314
*,           R12_MEA,  HFC_ptrp,   2025, 31205.25641
*,           R12_MEA,  HFC_ptrp,   2035, 29105.05137
*,           R12_MEA,  HFC_ptrp,   2045, 28585.62238
*,           R12_MEA,  IAHe_ptrp,  2010, 30389.91964
*,           R12_MEA,  IAHe_ptrp,  2015, 27278.47119
*,           R12_MEA,  IAHe_ptrp,  2025, 25446.23963
*,           R12_MEA,  IAHe_ptrp,  2035, 25795.46938
*,           R12_MEA,  IAHe_ptrp,  2045, 25034.62917
*,           R12_MEA,  IAHm_ptrp,  2010, 30389.91964
*,           R12_MEA,  IAHm_ptrp,  2015, 27278.47119
*,           R12_MEA,  IAHm_ptrp,  2020, 27278.47119
*,           R12_MEA,  IAHm_ptrp,  2025, 25446.23963
*,           R12_MEA,  IAHm_ptrp,  2030, 25446.23963
*,           R12_MEA,  IAHm_ptrp,  2035, 25795.46938
*,           R12_MEA,  IAHm_ptrp,  2040, 25795.46938
*,           R12_MEA,  IAHm_ptrp,  2045, 25034.62917
*,           R12_MEA,  IAHm_ptrp,  2050, 25034.62917
*,           R12_MEA,  ICAe_ffv,   2010, 23441.74845
*,           R12_MEA,  ICAe_ffv,   2015, 22095.32227
*,           R12_MEA,  ICAe_ffv,   2020, 22095.32227
*,           R12_MEA,  ICAe_ffv,   2025, 22454.54008
*,           R12_MEA,  ICAe_ffv,   2030, 22454.54008
