region,technology,parameter,Unit,value,availability,Description,Source
R12_PAS,scrap_recovery_aluminum_3,input|aluminum|dummy_end_of_life_3,,1.0,1985,,
R12_PAS,scrap_recovery_aluminum_3,output|aluminum|old_scrap_3,,1.0,1985,,
R12_SAS,scrap_recovery_aluminum_1,input|aluminum|dummy_end_of_life_1,,1.0,1985,,
R12_SAS,scrap_recovery_aluminum_1,output|aluminum|old_scrap_1,,1.0,1985,,
R12_SAS,scrap_recovery_aluminum_2,input|aluminum|dummy_end_of_life_2,,1.0,1985,,
R12_SAS,scrap_recovery_aluminum_2,output|aluminum|old_scrap_2,,1.0,1985,,
R12_SAS,scrap_recovery_aluminum_3,input|aluminum|dummy_end_of_life_3,,1.0,1985,,
R12_SAS,scrap_recovery_aluminum_3,output|aluminum|old_scrap_3,,1.0,1985,,
R12_PAO,scrap_recovery_aluminum_1,input|aluminum|dummy_end_of_life_1,,1.0,1985,,
R12_PAO,scrap_recovery_aluminum_1,output|aluminum|old_scrap_1,,1.0,1985,,
R12_PAO,scrap_recovery_aluminum_2,input|aluminum|dummy_end_of_life_2,,1.0,1985,,
R12_PAO,scrap_recovery_aluminum_2,output|aluminum|old_scrap_2,,1.0,1985,,
R12_PAO,scrap_recovery_aluminum_3,input|aluminum|dummy_end_of_life_3,,1.0,1985,,
R12_PAO,scrap_recovery_aluminum_3,output|aluminum|old_scrap_3,,1.0,1985,,
R12_AFR,scrap_recovery_aluminum_1,input|aluminum|dummy_end_of_life_1,,1.0,1985,,
R12_AFR,scrap_recovery_aluminum_1,output|aluminum|old_scrap_1,,1.0,1985,,
R12_AFR,scrap_recovery_aluminum_2,input|aluminum|dummy_end_of_life_2,,1.0,1985,,
R12_AFR,scrap_recovery_aluminum_2,output|aluminum|old_scrap_2,,1.0,1985,,
R12_AFR,scrap_recovery_aluminum_3,input|aluminum|dummy_end_of_life_3,,1.0,1985,,
R12_AFR,scrap_recovery_aluminum_3,output|aluminum|old_scrap_3,,1.0,1985,,
R12_NAM,scrap_recovery_aluminum_1,input|aluminum|dummy_end_of_life_1,,1.0,1985,,
R12_NAM,scrap_recovery_aluminum_1,output|aluminum|old_scrap_1,,1.0,1985,,
R12_NAM,scrap_recovery_aluminum_2,input|aluminum|dummy_end_of_life_2,,1.0,1985,,
R12_NAM,scrap_recovery_aluminum_2,output|aluminum|old_scrap_2,,1.0,1985,,
R12_NAM,scrap_recovery_aluminum_3,input|aluminum|dummy_end_of_life_3,,1.0,1985,,
R12_NAM,scrap_recovery_aluminum_3,output|aluminum|old_scrap_3,,1.0,1985,,
R12_FSU,scrap_recovery_aluminum_1,input|aluminum|dummy_end_of_life_1,,1.0,1985,,
R12_FSU,scrap_recovery_aluminum_1,output|aluminum|old_scrap_1,,1.0,1985,,
R12_FSU,scrap_recovery_aluminum_2,input|aluminum|dummy_end_of_life_2,,1.0,1985,,
R12_FSU,scrap_recovery_aluminum_2,output|aluminum|old_scrap_2,,1.0,1985,,
R12_FSU,scrap_recovery_aluminum_3,input|aluminum|dummy_end_of_life_3,,1.0,1985,,
R12_FSU,scrap_recovery_aluminum_3,output|aluminum|old_scrap_3,,1.0,1985,,
R12_WEU,scrap_recovery_aluminum_1,input|aluminum|dummy_end_of_life_1,,1.0,1985,,
R12_WEU,scrap_recovery_aluminum_1,output|aluminum|old_scrap_1,,1.0,1985,,
R12_WEU,scrap_recovery_aluminum_2,input|aluminum|dummy_end_of_life_2,,1.0,1985,,
R12_WEU,scrap_recovery_aluminum_2,output|aluminum|old_scrap_2,,1.0,1985,,
R12_WEU,scrap_recovery_aluminum_3,input|aluminum|dummy_end_of_life_3,,1.0,1985,,
R12_WEU,scrap_recovery_aluminum_3,output|aluminum|old_scrap_3,,1.0,1985,,
R12_EEU,scrap_recovery_aluminum_1,input|aluminum|dummy_end_of_life_1,,1.0,1985,,
R12_EEU,scrap_recovery_aluminum_1,output|aluminum|old_scrap_1,,1.0,1985,,
R12_EEU,scrap_recovery_aluminum_2,input|aluminum|dummy_end_of_life_2,,1.0,1985,,
R12_EEU,scrap_recovery_aluminum_2,output|aluminum|old_scrap_2,,1.0,1985,,
R12_EEU,scrap_recovery_aluminum_3,input|aluminum|dummy_end_of_life_3,,1.0,1985,,
R12_EEU,scrap_recovery_aluminum_3,output|aluminum|old_scrap_3,,1.0,1985,,
R12_LAM,scrap_recovery_aluminum_1,input|aluminum|dummy_end_of_life_1,,1.0,1985,,
R12_LAM,scrap_recovery_aluminum_1,output|aluminum|old_scrap_1,,1.0,1985,,
R12_LAM,scrap_recovery_aluminum_2,input|aluminum|dummy_end_of_life_2,,1.0,1985,,
R12_LAM,scrap_recovery_aluminum_2,output|aluminum|old_scrap_2,,1.0,1985,,
R12_LAM,scrap_recovery_aluminum_3,input|aluminum|dummy_end_of_life_3,,1.0,1985,,
