node_origin,node_loc,technology,year_vtg,year_act,mode,commodity,level,value,time,time_origin,unit
R12_NAM,R12_NAM,oil_tanker_loil,broadcast,broadcast,NAM-WEU,lightoil,secondary,6.18E-07,year,year,GWa
R12_PAO,R12_PAO,oil_tanker_loil,broadcast,broadcast,PAO-AFR,lightoil,secondary,2.30E-06,year,year,GWa
R12_PAO,R12_PAO,oil_tanker_loil,broadcast,broadcast,PAO-RCPA,lightoil,secondary,2.30E-06,year,year,GWa
R12_PAO,R12_PAO,oil_tanker_loil,broadcast,broadcast,PAO-CHN,lightoil,secondary,2.30E-06,year,year,GWa
R12_PAO,R12_PAO,oil_tanker_loil,broadcast,broadcast,PAO-EEU,lightoil,secondary,2.30E-06,year,year,GWa
R12_PAO,R12_PAO,oil_tanker_loil,broadcast,broadcast,PAO-FSU,lightoil,secondary,2.30E-06,year,year,GWa
R12_PAO,R12_PAO,oil_tanker_loil,broadcast,broadcast,PAO-LAM,lightoil,secondary,2.30E-06,year,year,GWa
R12_PAO,R12_PAO,oil_tanker_loil,broadcast,broadcast,PAO-MEA,lightoil,secondary,2.30E-06,year,year,GWa
R12_PAO,R12_PAO,oil_tanker_loil,broadcast,broadcast,PAO-NAM,lightoil,secondary,2.30E-06,year,year,GWa
R12_PAO,R12_PAO,oil_tanker_loil,broadcast,broadcast,PAO-PAS,lightoil,secondary,2.30E-06,year,year,GWa
R12_PAO,R12_PAO,oil_tanker_loil,broadcast,broadcast,PAO-SAS,lightoil,secondary,2.30E-06,year,year,GWa
R12_PAO,R12_PAO,oil_tanker_loil,broadcast,broadcast,PAO-WEU,lightoil,secondary,2.30E-06,year,year,GWa
R12_PAS,R12_PAS,oil_tanker_loil,broadcast,broadcast,PAS-AFR,lightoil,secondary,1.71E-07,year,year,GWa
R12_PAS,R12_PAS,oil_tanker_loil,broadcast,broadcast,PAS-RCPA,lightoil,secondary,1.71E-07,year,year,GWa
R12_PAS,R12_PAS,oil_tanker_loil,broadcast,broadcast,PAS-CHN,lightoil,secondary,1.71E-07,year,year,GWa
R12_PAS,R12_PAS,oil_tanker_loil,broadcast,broadcast,PAS-EEU,lightoil,secondary,1.71E-07,year,year,GWa
R12_PAS,R12_PAS,oil_tanker_loil,broadcast,broadcast,PAS-FSU,lightoil,secondary,1.71E-07,year,year,GWa
R12_PAS,R12_PAS,oil_tanker_loil,broadcast,broadcast,PAS-LAM,lightoil,secondary,1.71E-07,year,year,GWa
R12_PAS,R12_PAS,oil_tanker_loil,broadcast,broadcast,PAS-MEA,lightoil,secondary,1.71E-07,year,year,GWa
R12_PAS,R12_PAS,oil_tanker_loil,broadcast,broadcast,PAS-NAM,lightoil,secondary,1.71E-07,year,year,GWa
R12_PAS,R12_PAS,oil_tanker_loil,broadcast,broadcast,PAS-PAO,lightoil,secondary,1.71E-07,year,year,GWa
R12_PAS,R12_PAS,oil_tanker_loil,broadcast,broadcast,PAS-SAS,lightoil,secondary,1.71E-07,year,year,GWa
R12_PAS,R12_PAS,oil_tanker_loil,broadcast,broadcast,PAS-WEU,lightoil,secondary,1.71E-07,year,year,GWa
R12_SAS,R12_SAS,oil_tanker_loil,broadcast,broadcast,SAS-AFR,lightoil,secondary,1.86E-06,year,year,GWa
R12_SAS,R12_SAS,oil_tanker_loil,broadcast,broadcast,SAS-RCPA,lightoil,secondary,1.86E-06,year,year,GWa
R12_SAS,R12_SAS,oil_tanker_loil,broadcast,broadcast,SAS-CHN,lightoil,secondary,1.86E-06,year,year,GWa
R12_SAS,R12_SAS,oil_tanker_loil,broadcast,broadcast,SAS-EEU,lightoil,secondary,1.86E-06,year,year,GWa
R12_SAS,R12_SAS,oil_tanker_loil,broadcast,broadcast,SAS-FSU,lightoil,secondary,1.86E-06,year,year,GWa
R12_SAS,R12_SAS,oil_tanker_loil,broadcast,broadcast,SAS-LAM,lightoil,secondary,1.86E-06,year,year,GWa
R12_SAS,R12_SAS,oil_tanker_loil,broadcast,broadcast,SAS-MEA,lightoil,secondary,1.86E-06,year,year,GWa
R12_SAS,R12_SAS,oil_tanker_loil,broadcast,broadcast,SAS-NAM,lightoil,secondary,1.86E-06,year,year,GWa
R12_SAS,R12_SAS,oil_tanker_loil,broadcast,broadcast,SAS-PAO,lightoil,secondary,1.86E-06,year,year,GWa
R12_SAS,R12_SAS,oil_tanker_loil,broadcast,broadcast,SAS-PAS,lightoil,secondary,1.86E-06,year,year,GWa
R12_SAS,R12_SAS,oil_tanker_loil,broadcast,broadcast,SAS-WEU,lightoil,secondary,1.86E-06,year,year,GWa
R12_WEU,R12_WEU,oil_tanker_loil,broadcast,broadcast,WEU-AFR,lightoil,secondary,2.76E-06,year,year,GWa
R12_WEU,R12_WEU,oil_tanker_loil,broadcast,broadcast,WEU-RCPA,lightoil,secondary,2.76E-06,year,year,GWa
R12_WEU,R12_WEU,oil_tanker_loil,broadcast,broadcast,WEU-CHN,lightoil,secondary,2.76E-06,year,year,GWa
R12_WEU,R12_WEU,oil_tanker_loil,broadcast,broadcast,WEU-EEU,lightoil,secondary,2.76E-06,year,year,GWa
R12_WEU,R12_WEU,oil_tanker_loil,broadcast,broadcast,WEU-FSU,lightoil,secondary,2.76E-06,year,year,GWa
R12_WEU,R12_WEU,oil_tanker_loil,broadcast,broadcast,WEU-LAM,lightoil,secondary,2.76E-06,year,year,GWa
R12_WEU,R12_WEU,oil_tanker_loil,broadcast,broadcast,WEU-MEA,lightoil,secondary,2.76E-06,year,year,GWa
R12_WEU,R12_WEU,oil_tanker_loil,broadcast,broadcast,WEU-NAM,lightoil,secondary,2.76E-06,year,year,GWa
R12_WEU,R12_WEU,oil_tanker_loil,broadcast,broadcast,WEU-PAO,lightoil,secondary,2.76E-06,year,year,GWa
R12_WEU,R12_WEU,oil_tanker_loil,broadcast,broadcast,WEU-PAS,lightoil,secondary,2.76E-06,year,year,GWa
R12_WEU,R12_WEU,oil_tanker_loil,broadcast,broadcast,WEU-SAS,lightoil,secondary,2.76E-06,year,year,GWa
R12_AFR,R12_AFR,bunker_global_lightoil,broadcast,broadcast,M1,lightoil,secondary,1,year,year,GWa
R12_RCPA,R12_RCPA,bunker_global_lightoil,broadcast,broadcast,M1,lightoil,secondary,1,year,year,GWa
R12_CHN,R12_CHN,bunker_global_lightoil,broadcast,broadcast,M1,lightoil,secondary,1,year,year,GWa
R12_EEU,R12_EEU,bunker_global_lightoil,broadcast,broadcast,M1,lightoil,secondary,1,year,year,GWa
R12_FSU,R12_FSU,bunker_global_lightoil,broadcast,broadcast,M1,lightoil,secondary,1,year,year,GWa
R12_LAM,R12_LAM,bunker_global_lightoil,broadcast,broadcast,M1,lightoil,secondary,1,year,year,GWa
R12_MEA,R12_MEA,bunker_global_lightoil,broadcast,broadcast,M1,lightoil,secondary,1,year,year,GWa
R12_NAM,R12_NAM,bunker_global_lightoil,broadcast,broadcast,M1,lightoil,secondary,1,year,year,GWa
R12_PAO,R12_PAO,bunker_global_lightoil,broadcast,broadcast,M1,lightoil,secondary,1,year,year,GWa
R12_PAS,R12_PAS,bunker_global_lightoil,broadcast,broadcast,M1,lightoil,secondary,1,year,year,GWa
R12_SAS,R12_SAS,bunker_global_lightoil,broadcast,broadcast,M1,lightoil,secondary,1,year,year,GWa
R12_WEU,R12_WEU,bunker_global_lightoil,broadcast,broadcast,M1,lightoil,secondary,1,year,year,GWa
R12_AFR,R12_AFR,oil_tanker_eth,broadcast,broadcast,AFR-RCPA,ethanol,secondary,1.17E-06,year,year,GWa
R12_AFR,R12_AFR,oil_tanker_eth,broadcast,broadcast,AFR-CHN,ethanol,secondary,1.17E-06,year,year,GWa
R12_AFR,R12_AFR,oil_tanker_eth,broadcast,broadcast,AFR-EEU,ethanol,secondary,1.17E-06,year,year,GWa
R12_AFR,R12_AFR,oil_tanker_eth,broadcast,broadcast,AFR-FSU,ethanol,secondary,1.17E-06,year,year,GWa
R12_AFR,R12_AFR,oil_tanker_eth,broadcast,broadcast,AFR-LAM,ethanol,secondary,1.17E-06,year,year,GWa
R12_AFR,R12_AFR,oil_tanker_eth,broadcast,broadcast,AFR-MEA,ethanol,secondary,1.17E-06,year,year,GWa
R12_AFR,R12_AFR,oil_tanker_eth,broadcast,broadcast,AFR-NAM,ethanol,secondary,1.17E-06,year,year,GWa
R12_AFR,R12_AFR,oil_tanker_eth,broadcast,broadcast,AFR-PAO,ethanol,secondary,1.17E-06,year,year,GWa
R12_AFR,R12_AFR,oil_tanker_eth,broadcast,broadcast,AFR-PAS,ethanol,secondary,1.17E-06,year,year,GWa
R12_AFR,R12_AFR,oil_tanker_eth,broadcast,broadcast,AFR-SAS,ethanol,secondary,1.17E-06,year,year,GWa
R12_AFR,R12_AFR,oil_tanker_eth,broadcast,broadcast,AFR-WEU,ethanol,secondary,1.17E-06,year,year,GWa
R12_RCPA,R12_RCPA,oil_tanker_eth,broadcast,broadcast,RCPA-AFR,ethanol,secondary,2.03E-05,year,year,GWa
R12_RCPA,R12_RCPA,oil_tanker_eth,broadcast,broadcast,RCPA-CHN,ethanol,secondary,2.03E-05,year,year,GWa
R12_RCPA,R12_RCPA,oil_tanker_eth,broadcast,broadcast,RCPA-EEU,ethanol,secondary,2.03E-05,year,year,GWa
R12_RCPA,R12_RCPA,oil_tanker_eth,broadcast,broadcast,RCPA-FSU,ethanol,secondary,2.03E-05,year,year,GWa
R12_RCPA,R12_RCPA,oil_tanker_eth,broadcast,broadcast,RCPA-LAM,ethanol,secondary,2.03E-05,year,year,GWa
R12_RCPA,R12_RCPA,oil_tanker_eth,broadcast,broadcast,RCPA-MEA,ethanol,secondary,2.03E-05,year,year,GWa
R12_RCPA,R12_RCPA,oil_tanker_eth,broadcast,broadcast,RCPA-NAM,ethanol,secondary,2.03E-05,year,year,GWa
R12_RCPA,R12_RCPA,oil_tanker_eth,broadcast,broadcast,RCPA-PAO,ethanol,secondary,2.03E-05,year,year,GWa
R12_RCPA,R12_RCPA,oil_tanker_eth,broadcast,broadcast,RCPA-PAS,ethanol,secondary,2.03E-05,year,year,GWa
R12_RCPA,R12_RCPA,oil_tanker_eth,broadcast,broadcast,RCPA-SAS,ethanol,secondary,2.03E-05,year,year,GWa
R12_RCPA,R12_RCPA,oil_tanker_eth,broadcast,broadcast,RCPA-WEU,ethanol,secondary,2.03E-05,year,year,GWa
R12_CHN,R12_CHN,oil_tanker_eth,broadcast,broadcast,CHN-AFR,ethanol,secondary,8.28E-06,year,year,GWa
R12_CHN,R12_CHN,oil_tanker_eth,broadcast,broadcast,CHN-RCPA,ethanol,secondary,8.28E-06,year,year,GWa
R12_CHN,R12_CHN,oil_tanker_eth,broadcast,broadcast,CHN-EEU,ethanol,secondary,8.28E-06,year,year,GWa
R12_CHN,R12_CHN,oil_tanker_eth,broadcast,broadcast,CHN-FSU,ethanol,secondary,8.28E-06,year,year,GWa
R12_CHN,R12_CHN,oil_tanker_eth,broadcast,broadcast,CHN-LAM,ethanol,secondary,8.28E-06,year,year,GWa
R12_CHN,R12_CHN,oil_tanker_eth,broadcast,broadcast,CHN-MEA,ethanol,secondary,8.28E-06,year,year,GWa
R12_CHN,R12_CHN,oil_tanker_eth,broadcast,broadcast,CHN-NAM,ethanol,secondary,8.28E-06,year,year,GWa
R12_CHN,R12_CHN,oil_tanker_eth,broadcast,broadcast,CHN-PAO,ethanol,secondary,8.28E-06,year,year,GWa
R12_CHN,R12_CHN,oil_tanker_eth,broadcast,broadcast,CHN-PAS,ethanol,secondary,8.28E-06,year,year,GWa
R12_CHN,R12_CHN,oil_tanker_eth,broadcast,broadcast,CHN-SAS,ethanol,secondary,8.28E-06,year,year,GWa
R12_CHN,R12_CHN,oil_tanker_eth,broadcast,broadcast,CHN-WEU,ethanol,secondary,8.28E-06,year,year,GWa
R12_EEU,R12_EEU,oil_tanker_eth,broadcast,broadcast,EEU-AFR,ethanol,secondary,7.41E-07,year,year,GWa
R12_EEU,R12_EEU,oil_tanker_eth,broadcast,broadcast,EEU-RCPA,ethanol,secondary,7.41E-07,year,year,GWa
R12_EEU,R12_EEU,oil_tanker_eth,broadcast,broadcast,EEU-CHN,ethanol,secondary,7.41E-07,year,year,GWa
R12_EEU,R12_EEU,oil_tanker_eth,broadcast,broadcast,EEU-FSU,ethanol,secondary,7.41E-07,year,year,GWa
R12_EEU,R12_EEU,oil_tanker_eth,broadcast,broadcast,EEU-LAM,ethanol,secondary,7.41E-07,year,year,GWa
R12_EEU,R12_EEU,oil_tanker_eth,broadcast,broadcast,EEU-MEA,ethanol,secondary,7.41E-07,year,year,GWa
R12_EEU,R12_EEU,oil_tanker_eth,broadcast,broadcast,EEU-NAM,ethanol,secondary,7.41E-07,year,year,GWa
R12_EEU,R12_EEU,oil_tanker_eth,broadcast,broadcast,EEU-PAO,ethanol,secondary,7.41E-07,year,year,GWa
R12_EEU,R12_EEU,oil_tanker_eth,broadcast,broadcast,EEU-PAS,ethanol,secondary,7.41E-07,year,year,GWa
R12_EEU,R12_EEU,oil_tanker_eth,broadcast,broadcast,EEU-SAS,ethanol,secondary,7.41E-07,year,year,GWa
R12_EEU,R12_EEU,oil_tanker_eth,broadcast,broadcast,EEU-WEU,ethanol,secondary,7.41E-07,year,year,GWa
R12_FSU,R12_FSU,oil_tanker_eth,broadcast,broadcast,FSU-AFR,ethanol,secondary,6.58E-06,year,year,GWa
R12_FSU,R12_FSU,oil_tanker_eth,broadcast,broadcast,FSU-RCPA,ethanol,secondary,6.58E-06,year,year,GWa
R12_FSU,R12_FSU,oil_tanker_eth,broadcast,broadcast,FSU-CHN,ethanol,secondary,6.58E-06,year,year,GWa
R12_FSU,R12_FSU,oil_tanker_eth,broadcast,broadcast,FSU-EEU,ethanol,secondary,6.58E-06,year,year,GWa
R12_FSU,R12_FSU,oil_tanker_eth,broadcast,broadcast,FSU-LAM,ethanol,secondary,6.58E-06,year,year,GWa
R12_FSU,R12_FSU,oil_tanker_eth,broadcast,broadcast,FSU-MEA,ethanol,secondary,6.58E-06,year,year,GWa
R12_FSU,R12_FSU,oil_tanker_eth,broadcast,broadcast,FSU-NAM,ethanol,secondary,6.58E-06,year,year,GWa
R12_FSU,R12_FSU,oil_tanker_eth,broadcast,broadcast,FSU-PAO,ethanol,secondary,6.58E-06,year,year,GWa
R12_FSU,R12_FSU,oil_tanker_eth,broadcast,broadcast,FSU-PAS,ethanol,secondary,6.58E-06,year,year,GWa
R12_FSU,R12_FSU,oil_tanker_eth,broadcast,broadcast,FSU-SAS,ethanol,secondary,6.58E-06,year,year,GWa
R12_FSU,R12_FSU,oil_tanker_eth,broadcast,broadcast,FSU-WEU,ethanol,secondary,6.58E-06,year,year,GWa
R12_LAM,R12_LAM,oil_tanker_eth,broadcast,broadcast,LAM-AFR,ethanol,secondary,2.12E-06,year,year,GWa
R12_LAM,R12_LAM,oil_tanker_eth,broadcast,broadcast,LAM-RCPA,ethanol,secondary,2.12E-06,year,year,GWa
R12_LAM,R12_LAM,oil_tanker_eth,broadcast,broadcast,LAM-CHN,ethanol,secondary,2.12E-06,year,year,GWa
R12_LAM,R12_LAM,oil_tanker_eth,broadcast,broadcast,LAM-EEU,ethanol,secondary,2.12E-06,year,year,GWa
R12_LAM,R12_LAM,oil_tanker_eth,broadcast,broadcast,LAM-FSU,ethanol,secondary,2.12E-06,year,year,GWa
R12_LAM,R12_LAM,oil_tanker_eth,broadcast,broadcast,LAM-MEA,ethanol,secondary,2.12E-06,year,year,GWa
R12_LAM,R12_LAM,oil_tanker_eth,broadcast,broadcast,LAM-NAM,ethanol,secondary,2.12E-06,year,year,GWa
R12_LAM,R12_LAM,oil_tanker_eth,broadcast,broadcast,LAM-PAO,ethanol,secondary,2.12E-06,year,year,GWa
R12_LAM,R12_LAM,oil_tanker_eth,broadcast,broadcast,LAM-PAS,ethanol,secondary,2.12E-06,year,year,GWa
R12_LAM,R12_LAM,oil_tanker_eth,broadcast,broadcast,LAM-SAS,ethanol,secondary,2.12E-06,year,year,GWa
