MESSAGE_region,MESSAGE_sector,MESSAGE_fuel,Value,unit
R12_NAM,industry_residual,tidal,0,GWa
R12_NAM,industry_residual,total,243.7800366,GWa
R12_NAM,industry_residual,wind,0,GWa
R12_PAO,cement,biogas,0.004520545,GWa
R12_PAO,cement,biomass,0.237255473,GWa
R12_PAO,cement,coal,5.107741141,GWa
R12_PAO,cement,crude,0,GWa
R12_PAO,cement,dheat,0,GWa
R12_PAO,cement,electr,2.11302348,GWa
R12_PAO,cement,ethanol,0,GWa
R12_PAO,cement,foil,1.518951561,GWa
R12_PAO,cement,gas,2.218607993,GWa
R12_PAO,cement,geothermal,0,GWa
R12_PAO,cement,hydro,0,GWa
R12_PAO,cement,loil,1.04602204,GWa
R12_PAO,cement,nuclear,0,GWa
R12_PAO,cement,other,0,GWa
R12_PAO,cement,solar_pv,0,GWa
R12_PAO,cement,solar_thermal,0,GWa
R12_PAO,cement,tidal,0,GWa
R12_PAO,cement,total,12.24612195,GWa
R12_PAO,cement,wind,0,GWa
R12_PAO,industry_residual,biogas,0.028756624,GWa
R12_PAO,industry_residual,biomass,7.365042215,GWa
R12_PAO,industry_residual,coal,4.594441951,GWa
R12_PAO,industry_residual,crude,0.019896591,GWa
R12_PAO,industry_residual,dheat,0,GWa
R12_PAO,industry_residual,electr,26.50174084,GWa
R12_PAO,industry_residual,ethanol,0,GWa
R12_PAO,industry_residual,foil,1.339190188,GWa
R12_PAO,industry_residual,gas,10.10177652,GWa
R12_PAO,industry_residual,geothermal,0.152527188,GWa
R12_PAO,industry_residual,hydro,0,GWa
R12_PAO,industry_residual,loil,11.11785785,GWa
R12_PAO,industry_residual,nuclear,0,GWa
R12_PAO,industry_residual,other,0,GWa
R12_PAO,industry_residual,solar_pv,0,GWa
R12_PAO,industry_residual,solar_thermal,0,GWa
R12_PAO,industry_residual,tidal,0,GWa
R12_PAO,industry_residual,total,61.2212312,GWa
R12_PAO,industry_residual,wind,0,GWa
R12_PAS,cement,biogas,0,GWa
R12_PAS,cement,biomass,0.002935496,GWa
R12_PAS,cement,coal,25.87517497,GWa
R12_PAS,cement,crude,0,GWa
R12_PAS,cement,dheat,0.003324467,GWa
R12_PAS,cement,electr,2.94770653,GWa
R12_PAS,cement,ethanol,0.001222222,GWa
R12_PAS,cement,foil,1.294040739,GWa
R12_PAS,cement,gas,1.990214186,GWa
R12_PAS,cement,geothermal,0,GWa
R12_PAS,cement,hydro,0,GWa
R12_PAS,cement,loil,0.904003778,GWa
R12_PAS,cement,nuclear,0,GWa
R12_PAS,cement,other,0,GWa
R12_PAS,cement,solar_pv,0,GWa
R12_PAS,cement,solar_thermal,0,GWa
R12_PAS,cement,tidal,0,GWa
R12_PAS,cement,total,33.01862155,GWa
