utype,cooling,investment_million_USD_per_MW_low,investment_million_USD_per_MW_mid,investment_million_USD_per_MW_high,mix_R11_AFR,mix_R11_CPA,mix_R11_EEU,mix_R11_FSU,mix_R11_LAM,mix_R11_MEA,mix_R11_NAM,mix_R11_PAO,mix_R11_PAS,mix_R11_SAS,mix_R11_WEU,utype_pl
gas_hpl,ot_fresh,2.00E-04,4.00E-04,6.00E-04,0,0.030479722,0.208538175,0.187079269,0.063618544,0.062826805,0.02699093,0,0,0.0201428,0.073337661,0
gas_hpl,ot_saline,2.00E-04,3.00E-04,5.00E-04,0.011307953,0.398862761,0,0.081217411,0.179241054,0.288300301,0.041646693,0.661113792,0.459207744,0.030946798,0.223417337,0
gas_ppl,air,0.16,0.22,0.35,0.015020816,0,0.041112901,0.001907882,0.002116011,0.012483288,0.001195899,0.001585035,0.000948814,0.002985636,0.002166079,gas_ppl
gas_ppl,cl_fresh,0.05,0.1,0.15,0.045141157,0.477518111,0.883608538,0.556884171,0.31541158,0.342349999,0.592517161,0.03409721,0.631630892,0.586390944,0.351735602,gas_ppl
gas_ppl,ot_fresh,2.00E-04,4.00E-04,6.00E-04,0.306330186,0,0.071083367,0.421357099,0.078821419,0.102258936,0.202144567,4.81E-05,0,0.170539555,0.149052026,gas_ppl
gas_ppl,ot_saline,2.00E-04,3.00E-04,5.00E-04,0.633507842,0.522481889,0.004195194,0.019850848,0.603650989,0.542907777,0.204142373,0.964269639,0.367420295,0.240083865,0.497046293,gas_ppl
geo_hpl,air,0.16,0.22,0.35,0,0,0,0.12605042,0,0,0.010623154,0.04861575,0,0,0,0
geo_hpl,cl_fresh,0.05,0.1,0.15,1,1,1,0.87394958,0.981707836,1,0.989376846,0.83351889,1,1,0.925989885,0
geo_hpl,ot_fresh,2.00E-04,4.00E-04,6.00E-04,0,0,0,0,0,0,0,0.1166778,0,0,0,0
geo_hpl,ot_saline,2.00E-04,3.00E-04,5.00E-04,0,0,0,0,0.018292164,0,0,0.00118756,0,0,0.074010115,0
geo_ppl,air,0.16,0.22,0.35,0,0,0,0.12605042,0,0,0.010623154,0.04861575,0,0,0,geo_ppl
geo_ppl,cl_fresh,0.05,0.1,0.15,1,1,1,0.87394958,0.981707836,1,0.989376846,0.83351889,1,1,0.925989885,geo_ppl
geo_ppl,ot_fresh,2.00E-04,4.00E-04,6.00E-04,0,0,0,0,0,0,0,0.1166778,0,0,0,geo_ppl
geo_ppl,ot_saline,2.00E-04,3.00E-04,5.00E-04,0,0,0,0,0.018292164,0,0,0.00118756,0,0,0.074010115,geo_ppl
igcc,air,0.1,0.14,0.2,0,0,0,0,0,0,0,0,0,0,0,0
igcc,cl_fresh,0.02,0.05,0.07,0,0,0,0,0,0,0,0,0,0,0,0
igcc,ot_fresh,2.00E-04,4.00E-04,6.00E-04,1,1,1,1,1,1,1,1,1,1,1,0
igcc,ot_saline,2.00E-04,3.00E-04,5.00E-04,0,0,0,0,0,0,0,0,0,0,0,0
igcc_ccs,cl_fresh,0.04,0.1,0.16,0,0,0,0,0,0,0,0,0,0,0,0
igcc_ccs,ot_fresh,2.00E-04,4.00E-04,6.00E-04,1,1,1,1,1,1,1,1,1,1,1,0
igcc_ccs,ot_saline,2.00E-04,3.00E-04,5.00E-04,0,0,0,0,0,0,0,0,0,0,0,0
loil_cc,air,0.1,0.14,0.2,0,0,0,0,0,0,0,0,0,0,0,0
loil_cc,cl_fresh,0.02,0.05,0.07,1,1,1,1,0.5920102,1,0.7359477,0.969728242,0.769528428,1,0.481196194,0
loil_cc,ot_fresh,1.00E-04,2.00E-04,3.00E-04,0,0,0,0,0,0,0.148976314,0.023391813,0,0,0,0
loil_cc,ot_saline,2.00E-04,3.00E-04,5.00E-04,0,0,0,0,0.4079898,0,0.115075986,0.006879945,0.230471572,0,0.518803806,0
loil_ppl,air,0.16,0.22,0.35,0,0,0,0,0,0,0,0,0,0,0,0
loil_ppl,cl_fresh,0.05,0.1,0.15,1,1,1,1,0.5920102,1,0.7359477,0.969728242,0.769528428,1,0.481196194,loil_ppl
loil_ppl,ot_fresh,2.00E-04,4.00E-04,6.00E-04,0,0,0,0,0,0,0.148976314,0.023391813,0,0,0,loil_ppl
loil_ppl,ot_saline,2.00E-04,3.00E-04,5.00E-04,0,0,0,0,0.4079898,0,0.115075986,0.006879945,0.230471572,0,0.518803806,loil_ppl
nuc_hc,cl_fresh,0.05,0.1,0.15,1,0.000493425,1,0.582750583,0,0,0,1,1,0.262541806,1,nuc_hc
nuc_hc,ot_fresh,2.00E-04,4.00E-04,6.00E-04,0,0,0,0.06993007,0,0,0,0,0,0.108695652,0,nuc_hc
nuc_hc,ot_saline,2.00E-04,3.00E-04,5.00E-04,0,0.999506575,0,0.347319347,1,1,1,0,0,0.628762542,0,nuc_hc
nuc_lc,cl_fresh,0.11,0.16,0.2,0,0,0.437970506,0.461058765,0,0,0.579233538,0,0,0.651376147,0.479978771,nuc_lc
nuc_lc,ot_fresh,4.00E-04,8.00E-04,6.00E-04,0,0,0.562029494,0.364149483,0.307088989,0,0.235882316,0,0,0,0.161568636,nuc_lc
nuc_lc,ot_saline,4.00E-04,6.00E-04,0.001,1,1,0,0.174791752,0.692911011,1,0.184884146,1,1,0.348623853,0.358452594,nuc_lc
