technology_name,technology_group,output,water_supply_type,water_withdrawal_low_m3_per_output,water_withdrawal_mid_m3_per_output,water_withdrawal_high_m3_per_output,water_consumption_low_m3_per_output,water_consumption_mid_m3_per_output,water_consumption_high_m3_per_output,requires_cooling,emissions_heat_fraction,parasitic_electricity_demand_fraction
csp_sm1_res6__ot_saline,cooling,GJ,saline_supply,36.803,37.854,38.906,0.2,0.305,0.431,N,0,0
csp_sm1_res6__air,cooling,GJ,not_applicable,0,0,0,0,0,0,N,0,0.102
csp_sm1_res7__ot_fresh,cooling,GJ,freshwater_supply,36.803,37.854,38.906,0.2,0.305,0.431,N,0,0
csp_sm1_res7__cl_fresh,cooling,GJ,freshwater_supply,0.915,1.009,1.998,0.589,0.936,1.998,N,0,0.017
csp_sm1_res7__ot_saline,cooling,GJ,saline_supply,36.803,37.854,38.906,0.2,0.305,0.431,N,0,0
csp_sm1_res7__air,cooling,GJ,not_applicable,0,0,0,0,0,0,N,0,0.102
csp_sm3_res__ot_fresh,cooling,GJ,freshwater_supply,36.803,37.854,38.906,0.2,0.305,0.431,N,0,0
csp_sm3_res__cl_fresh,cooling,GJ,freshwater_supply,0.915,1.009,1.998,0.589,0.936,1.998,N,0,0.017
csp_sm3_res__ot_saline,cooling,GJ,saline_supply,36.803,37.854,38.906,0.2,0.305,0.431,N,0,0
csp_sm3_res__air,cooling,GJ,not_applicable,0,0,0,0,0,0,N,0,0.102
csp_sm3_res1__ot_fresh,cooling,GJ,freshwater_supply,36.803,37.854,38.906,0.2,0.305,0.431,N,0,0
csp_sm3_res1__cl_fresh,cooling,GJ,freshwater_supply,0.915,1.009,1.998,0.589,0.936,1.998,N,0,0.017
csp_sm3_res1__ot_saline,cooling,GJ,saline_supply,36.803,37.854,38.906,0.2,0.305,0.431,N,0,0
csp_sm3_res1__air,cooling,GJ,not_applicable,0,0,0,0,0,0,N,0,0.102
csp_sm3_res2__ot_fresh,cooling,GJ,freshwater_supply,36.803,37.854,38.906,0.2,0.305,0.431,N,0,0
csp_sm3_res2__cl_fresh,cooling,GJ,freshwater_supply,0.915,1.009,1.998,0.589,0.936,1.998,N,0,0.017
csp_sm3_res2__ot_saline,cooling,GJ,saline_supply,36.803,37.854,38.906,0.2,0.305,0.431,N,0,0
csp_sm3_res2__air,cooling,GJ,not_applicable,0,0,0,0,0,0,N,0,0.102
csp_sm3_res3__ot_fresh,cooling,GJ,freshwater_supply,36.803,37.854,38.906,0.2,0.305,0.431,N,0,0
csp_sm3_res3__cl_fresh,cooling,GJ,freshwater_supply,0.915,1.009,1.998,0.589,0.936,1.998,N,0,0.017
csp_sm3_res3__ot_saline,cooling,GJ,saline_supply,36.803,37.854,38.906,0.2,0.305,0.431,N,0,0
csp_sm3_res3__air,cooling,GJ,not_applicable,0,0,0,0,0,0,N,0,0.102
csp_sm3_res4__ot_fresh,cooling,GJ,freshwater_supply,36.803,37.854,38.906,0.2,0.305,0.431,N,0,0
csp_sm3_res4__cl_fresh,cooling,GJ,freshwater_supply,0.915,1.009,1.998,0.589,0.936,1.998,N,0,0.017
csp_sm3_res4__ot_saline,cooling,GJ,saline_supply,36.803,37.854,38.906,0.2,0.305,0.431,N,0,0
csp_sm3_res4__air,cooling,GJ,not_applicable,0,0,0,0,0,0,N,0,0.102
csp_sm3_res5__ot_fresh,cooling,GJ,freshwater_supply,36.803,37.854,38.906,0.2,0.305,0.431,N,0,0
csp_sm3_res5__cl_fresh,cooling,GJ,freshwater_supply,0.915,1.009,1.998,0.589,0.936,1.998,N,0,0.017
csp_sm3_res5__ot_saline,cooling,GJ,saline_supply,36.803,37.854,38.906,0.2,0.305,0.431,N,0,0
csp_sm3_res5__air,cooling,GJ,not_applicable,0,0,0,0,0,0,N,0,0.102
csp_sm3_res6__ot_fresh,cooling,GJ,freshwater_supply,36.803,37.854,38.906,0.2,0.305,0.431,N,0,0
csp_sm3_res6__cl_fresh,cooling,GJ,freshwater_supply,0.915,1.009,1.998,0.589,0.936,1.998,N,0,0.017
csp_sm3_res6__ot_saline,cooling,GJ,saline_supply,36.803,37.854,38.906,0.2,0.305,0.431,N,0,0
csp_sm3_res6__air,cooling,GJ,not_applicable,0,0,0,0,0,0,N,0,0.102
csp_sm3_res7__ot_fresh,cooling,GJ,freshwater_supply,36.803,37.854,38.906,0.2,0.305,0.431,N,0,0
csp_sm3_res7__cl_fresh,cooling,GJ,freshwater_supply,0.915,1.009,1.998,0.589,0.936,1.998,N,0,0.017
csp_sm3_res7__ot_saline,cooling,GJ,saline_supply,36.803,37.854,38.906,0.2,0.305,0.431,N,0,0
csp_sm3_res7__air,cooling,GJ,not_applicable,0,0,0,0,0,0,N,0,0.102
