node_loc,technology,year_vtg,value,unit,coc_base,non_coc_base,non_coc_base_2020,non_coc_base_growth
R12_AFR,loil_ppl,2100,530.3627653107335,USD/kWa,50.769230769230774,479.5935345415027,456.9230769230769,1.0496154796362855
R12_AFR,loil_ppl,2110,530.3627653107335,USD/kWa,50.769230769230774,479.5935345415027,456.9230769230769,1.0496154796362855
R12_AFR,loil_ppl,2025,507.6923076923077,USD/kWa,50.769230769230774,456.9230769230769,456.9230769230769,1.0
R12_AFR,loil_ppl,2035,508.4488969369908,USD/kWa,50.769230769230774,457.67966616776005,456.9230769230769,1.0016558350472864
R12_AFR,loil_ppl,2045,509.9461993795028,USD/kWa,50.769230769230774,459.176968610272,456.9230769230769,1.0049327595847704
R12_AFR,loil_ppl,2055,512.0412504839325,USD/kWa,50.769230769230774,461.2720197147017,456.9230769230769,1.0095178882644986
R12_AFR,wind_res1,2020,1887.6639344262292,USD/kWa,188.76639344262293,1698.8975409836062,1698.8975409836062,1.0
R12_AFR,wind_res1,2030,1613.2684510606396,USD/kWa,188.76639344262293,1424.5020576180166,1698.8975409836062,0.8384861495492403
R12_AFR,wind_res1,2040,1262.5196398553828,USD/kWa,188.76639344262293,1073.7532464127598,1698.8975409836062,0.632029431151623
R12_AFR,wind_res1,2050,1072.4232284837096,USD/kWa,188.76639344262293,883.6568350410867,1698.8975409836062,0.5201354488567205
R12_AFR,wind_res1,2060,966.4899889219928,USD/kWa,188.76639344262293,777.7235954793698,1698.8975409836062,0.4577813415570036
R12_AFR,wind_res1,2070,903.8306593740804,USD/kWa,188.76639344262293,715.0642659314574,1698.8975409836062,0.4208989940131755
R12_AFR,wind_res1,2080,862.7512121807048,USD/kWa,188.76639344262293,673.9848187380819,1698.8975409836062,0.39671893241299694
R12_AFR,wind_res1,2090,832.1165214673249,USD/kWa,188.76639344262293,643.3501280247019,1698.8975409836062,0.37868683219838156
