Model,Scenario,Region,Variable,Unit,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
IIASA-WiC POP,SSP2,PER,Population,million,29.077,30.365,31.439,32.329,33.041,33.541,33.849,33.957,33.862,33.573,33.116,32.623,32.106,31.564,30.994,30.401,29.803,29.237,28.713
IIASA-WiC POP,SSP2,PHL,Population,million,93.261,101.325,109.705,117.823,125.356,132.321,138.617,144.218,149.040,153.215,156.742,159.523,161.592,162.875,163.485,163.466,162.876,161.764,160.179
IIASA-WiC POP,SSP2,PNG,Population,million,6.858,7.568,8.240,8.900,9.543,10.139,10.661,11.118,11.504,11.831,12.087,12.277,12.391,12.439,12.433,12.374,12.265,12.108,11.917
IIASA-WiC POP,SSP2,POL,Population,million,38.277,38.395,38.410,38.259,37.889,37.292,36.586,35.867,35.163,34.436,33.637,32.716,31.686,30.614,29.577,28.619,27.752,26.965,26.229
IIASA-WiC POP,SSP2,PRI,Population,million,3.749,3.703,3.643,3.567,3.475,3.367,3.245,3.111,2.969,2.822,2.674,2.533,2.401,2.279,2.167,2.066,1.973,1.890,1.810
IIASA-WiC POP,SSP2,PRK,Population,million,24.346,24.909,25.396,25.760,25.902,25.847,25.664,25.372,24.970,24.453,23.841,23.164,22.459,21.727,20.956,20.143,19.308,18.481,17.687
IIASA-WiC POP,SSP2,PRT,Population,million,10.676,10.805,10.910,10.999,11.082,11.163,11.234,11.284,11.310,11.306,11.277,11.211,11.115,10.996,10.863,10.722,10.572,10.410,10.217
IIASA-WiC POP,SSP2,PRY,Population,million,6.455,6.986,7.502,7.985,8.427,8.830,9.190,9.499,9.757,9.967,10.122,10.232,10.301,10.330,10.321,10.275,10.195,10.086,9.954
IIASA-WiC POP,SSP2,PSE,Population,million,4.039,4.480,4.857,5.158,5.398,5.582,5.712,5.791,5.830,5.827,5.790,5.753,5.718,5.691,5.669,5.655,5.653,5.660,5.678
IIASA-WiC POP,SSP2,PYF,Population,million,0.271,0.286,0.301,0.314,0.326,0.336,0.344,0.352,0.357,0.362,0.365,0.368,0.369,0.370,0.370,0.370,0.369,0.368,0.367
IIASA-WiC POP,SSP2,QAT,Population,million,1.759,2.306,2.562,2.809,3.045,3.271,3.475,3.653,3.797,3.911,3.994,4.039,4.044,4.013,3.954,3.880,3.797,3.707,3.606
IIASA-WiC POP,SSP2,REU,Population,million,0.846,0.895,0.941,0.984,1.025,1.062,1.096,1.126,1.151,1.173,1.192,1.208,1.223,1.235,1.246,1.255,1.261,1.266,1.270
IIASA-WiC POP,SSP2,ROU,Population,million,21.486,21.137,20.766,20.355,19.915,19.445,18.935,18.375,17.757,17.082,16.356,15.596,14.832,14.097,13.415,12.800,12.255,11.770,11.323
IIASA-WiC POP,SSP2,RUS,Population,million,142.958,142.671,141.969,140.910,139.632,138.489,137.792,137.238,136.715,136.087,135.424,134.504,133.427,132.158,130.636,128.882,126.968,124.905,122.622
IIASA-WiC POP,SSP2,RWA,Population,million,10.624,12.167,13.749,15.293,16.827,18.394,19.980,21.519,22.953,24.219,25.345,26.395,27.374,28.260,29.027,29.671,30.186,30.596,30.884
IIASA-WiC POP,SSP2,SAU,Population,million,27.448,31.078,34.746,38.338,41.861,45.308,48.611,51.651,54.414,56.896,59.026,60.756,62.069,63.012,63.608,63.858,63.753,63.357,62.664
IIASA-WiC POP,SSP2,SDN,Population,million,43.552,48.860,54.185,59.391,64.512,69.414,73.969,78.050,81.625,84.763,87.420,89.548,91.214,92.433,93.128,93.314,93.063,92.493,91.593
IIASA-WiC POP,SSP2,SEN,Population,million,12.434,14.043,15.651,17.236,18.791,20.320,21.760,23.080,24.252,25.280,26.194,27.064,27.869,28.595,29.264,29.852,30.361,30.787,31.150
IIASA-WiC POP,SSP2,SGP,Population,million,5.086,5.523,5.719,5.907,6.088,6.247,6.373,6.467,6.530,6.569,6.591,6.571,6.510,6.409,6.276,6.118,5.941,5.749,5.538
IIASA-WiC POP,SSP2,SLB,Population,million,0.538,0.603,0.664,0.723,0.780,0.836,0.887,0.932,0.971,1.006,1.034,1.058,1.076,1.088,1.095,1.096,1.093,1.087,1.077
IIASA-WiC POP,SSP2,SLE,Population,million,5.868,6.588,7.323,8.050,8.755,9.450,10.118,10.733,11.279,11.764,12.197,12.556,12.833,13.039,13.174,13.240,13.248,13.214,13.145
IIASA-WiC POP,SSP2,SLV,Population,million,6.193,6.304,6.383,6.412,6.396,6.353,6.291,6.200,6.081,5.935,5.770,5.614,5.465,5.321,5.187,5.063,4.948,4.845,4.757
IIASA-WiC POP,SSP2,SOM,Population,million,9.331,10.289,11.235,12.201,13.184,14.124,14.934,15.598,16.162,16.650,17.052,17.422,17.765,18.076,18.358,18.619,18.842,19.047,19.229
IIASA-WiC POP,SSP2,SRB,Population,million,9.856,9.780,9.732,9.721,9.730,9.735,9.727,9.703,9.669,9.628,9.573,9.464,9.300,9.089,8.846,8.584,8.311,8.025,7.728
IIASA-WiC POP,SSP2,STP,Population,million,0.165,0.176,0.185,0.193,0.199,0.204,0.208,0.210,0.211,0.211,0.210,0.208,0.207,0.206,0.204,0.203,0.202,0.201,0.201
IIASA-WiC POP,SSP2,SUR,Population,million,0.525,0.549,0.572,0.593,0.613,0.629,0.642,0.652,0.659,0.665,0.667,0.668,0.666,0.663,0.658,0.652,0.645,0.636,0.626
IIASA-WiC POP,SSP2,SVK,Population,million,5.462,5.539,5.607,5.654,5.669,5.649,5.613,5.573,5.530,5.476,5.404,5.303,5.178,5.043,4.909,4.782,4.661,4.544,4.427
IIASA-WiC POP,SSP2,SVN,Population,million,2.030,2.065,2.094,2.117,2.135,2.150,2.167,2.184,2.199,2.211,2.220,2.223,2.222,2.218,2.209,2.196,2.178,2.155,2.128
IIASA-WiC POP,SSP2,SWE,Population,million,9.380,9.776,10.186,10.604,10.986,11.341,11.705,12.097,12.512,12.927,13.324,13.675,13.994,14.291,14.559,14.784,14.958,15.079,15.133
IIASA-WiC POP,SSP2,SWZ,Population,million,1.186,1.263,1.325,1.380,1.427,1.464,1.496,1.523,1.546,1.565,1.579,1.587,1.590,1.588,1.581,1.571,1.557,1.538,1.516
IIASA-WiC POP,SSP2,SYR,Population,million,20.411,22.268,24.177,26.089,27.930,29.633,31.134,32.431,33.570,34.582,35.422,36.083,36.563,36.880,37.032,37.019,36.841,36.523,36.105
IIASA-WiC POP,SSP2,TCD,Population,million,11.227,12.811,14.532,16.369,18.255,20.125,21.912,23.619,25.238,26.758,28.118,29.317,30.396,31.378,32.206,32.917,33.481,33.901,34.197
IIASA-WiC POP,SSP2,TGO,Population,million,6.028,6.652,7.277,7.888,8.470,9.023,9.523,9.961,10.349,10.683,10.957,11.173,11.337,11.447,11.506,11.530,11.523,11.484,11.416
IIASA-WiC POP,SSP2,THA,Population,million,69.122,71.114,72.846,74.141,75.018,75.384,75.219,74.568,73.552,72.290,70.863,69.193,67.348,65.350,63.271,61.134,58.972,56.811,54.662
IIASA-WiC POP,SSP2,TJK,Population,million,6.879,7.238,7.544,7.781,7.943,8.044,8.098,8.098,8.045,7.953,7.829,7.711,7.600,7.491,7.387,7.293,7.208,7.137,7.078
IIASA-WiC POP,SSP2,TKM,Population,million,5.042,5.329,5.595,5.825,6.009,6.150,6.260,6.335,6.374,6.375,6.341,6.282,6.203,6.107,6.002,5.891,5.778,5.663,5.547
IIASA-WiC POP,SSP2,TLS,Population,million,1.124,1.245,1.377,1.515,1.651,1.775,1.883,1.976,2.059,2.129,2.182,2.231,2.280,2.331,2.383,2.437,2.492,2.549,2.608
IIASA-WiC POP,SSP2,TON,Population,million,0.104,0.106,0.108,0.110,0.110,0.110,0.110,0.108,0.106,0.104,0.101,0.098,0.096,0.095,0.093,0.092,0.091,0.090,0.090
IIASA-WiC POP,SSP2,TTO,Population,million,1.341,1.361,1.372,1.371,1.360,1.343,1.319,1.287,1.247,1.201,1.151,1.100,1.049,0.998,0.948,0.901,0.859,0.820,0.785
IIASA-WiC POP,SSP2,TUN,Population,million,10.481,10.998,11.475,11.887,12.206,12.433,12.596,12.700,12.743,12.718,12.616,12.439,12.204,11.938,11.663,11.394,11.138,10.892,10.645
IIASA-WiC POP,SSP2,TUR,Population,million,72.752,77.042,81.012,84.610,87.769,90.480,92.749,94.553,95.880,96.684,97.028,97.025,96.682,96.004,95.030,93.827,92.527,91.149,89.679
IIASA-WiC POP,SSP2,TZA,Population,million,44.841,51.352,58.362,65.593,73.026,80.562,88.103,95.348,102.254,108.601,114.341,119.703,124.681,129.115,133.084,136.633,139.636,142.024,143.787
IIASA-WiC POP,SSP2,UGA,Population,million,33.425,39.119,45.461,52.404,59.961,68.014,76.345,84.804,93.253,101.455,109.339,116.919,124.039,130.731,136.962,142.603,147.606,151.913,155.661
IIASA-WiC POP,SSP2,UKR,Population,million,45.448,44.123,42.939,41.948,41.094,40.382,39.814,39.327,38.882,38.478,38.119,37.671,37.153,36.563,35.906,35.198,34.454,33.672,32.836
IIASA-WiC POP,SSP2,URY,Population,million,3.369,3.402,3.426,3.443,3.449,3.441,3.418,3.382,3.332,3.271,3.202,3.131,3.059,2.985,2.912,2.839,2.767,2.697,2.630
IIASA-WiC POP,SSP2,USA,Population,million,310.384,322.835,335.751,348.689,361.029,372.554,383.233,393.027,402.305,411.564,420.930,429.757,437.638,444.292,449.545,453.453,456.212,457.942,458.560
IIASA-WiC POP,SSP2,UZB,Population,million,27.445,28.867,30.163,31.256,32.084,32.662,33.089,33.382,33.475,33.355,33.039,32.637,32.157,31.621,31.023,30.383,29.755,29.160,28.604
IIASA-WiC POP,SSP2,VCT,Population,million,0.109,0.110,0.110,0.110,0.110,0.109,0.108,0.106,0.104,0.102,0.100,0.097,0.095,0.092,0.090,0.088,0.085,0.083,0.081
IIASA-WiC POP,SSP2,VEN,Population,million,28.980,31.164,33.203,35.109,36.864,38.405,39.729,40.835,41.714,42.378,42.833,43.069,43.081,42.880,42.520,42.014,41.381,40.641,39.817
IIASA-WiC POP,SSP2,VIR,Population,million,0.109,0.112,0.114,0.116,0.118,0.119,0.119,0.118,0.117,0.117,0.116,0.115,0.114,0.113,0.112,0.110,0.108,0.106,0.103
IIASA-WiC POP,SSP2,VNM,Population,million,87.848,92.375,96.408,99.606,101.958,103.623,104.650,104.956,104.376,103.131,101.329,99.103,96.537,93.663,90.540,87.306,84.128,81.111,78.267
IIASA-WiC POP,SSP2,VUT,Population,million,0.240,0.267,0.294,0.320,0.346,0.371,0.393,0.414,0.433,0.449,0.463,0.474,0.483,0.489,0.492,0.493,0.491,0.487,0.482
IIASA-WiC POP,SSP2,WSM,Population,million,0.183,0.185,0.187,0.187,0.186,0.184,0.181,0.176,0.171,0.165,0.159,0.153,0.149,0.145,0.142,0.140,0.138,0.136,0.135
IIASA-WiC POP,SSP2,YEM,Population,million,24.053,27.896,31.976,36.111,40.189,44.324,48.512,52.648,56.604,60.190,63.356,66.223,68.828,71.115,73.038,74.613,75.813,76.685,77.281
IIASA-WiC POP,SSP2,ZAF,Population,million,50.133,52.493,54.797,56.845,58.585,60.028,61.254,62.250,63.045,63.631,64.042,64.183,64.028,63.591,62.884,62.019,61.000,59.823,58.484
IIASA-WiC POP,SSP2,ZMB,Population,million,13.089,14.963,16.968,19.114,21.368,23.658,25.906,28.051,30.104,32.050,33.860,35.521,37.072,38.481,39.766,40.938,41.931,42.769,43.433
IIASA-WiC POP,SSP2,ZWE,Population,million,12.571,12.770,13.075,13.257,13.327,13.339,13.310,13.238,13.124,12.962,12.769,12.590,12.422,12.242,12.064,11.897,11.743,11.603,11.481
